timestamp,source_ip,user,message,actual_threat
2026-01-03 01:26:45.624674,192.168.1.47,system,System health check passed,normal
2026-01-03 01:33:15.624674,192.168.1.47,admin,DDoS attack detected: 442 connections from 189.252.223.163,ddos
2026-01-03 01:34:07.624674,192.168.10.163,aanderson,System health check passed,normal
2026-01-03 01:34:54.624674,192.168.9.138,slee,Invalid password attempt for user kwilson,brute_force
2026-01-03 01:44:07.624674,192.168.2.200,system,Email from 176.113.169.46 flagged as phishing attempt,phishing
2026-01-03 01:44:39.624674,192.168.7.108,slee,Brute force pattern detected: 58 failed logins from 192.168.3.16,brute_force
2026-01-03 01:47:58.624674,192.168.2.191,root,Brute force pattern detected: 499 failed logins from 192.168.6.148,brute_force
2026-01-03 02:04:42.624674,192.168.1.47,system,Suspicious activity: aanderson accessed payroll data without authorization,insider_threat
2026-01-03 02:40:29.624674,192.168.6.148,rgarcia,System health check passed,normal
2026-01-03 02:48:40.624674,192.168.6.34,slee,Configuration updated by system,normal
2026-01-03 02:49:05.624674,192.168.10.22,mjones,Abnormal traffic spike from single source 119.31.77.94,ddos
2026-01-03 02:54:01.624674,192.168.2.191,system,User kwilson logged in successfully from 192.168.1.15,normal
2026-01-03 03:01:08.624674,192.168.6.34,rgarcia,Brute force pattern detected: 453 failed logins from 192.168.10.163,brute_force
2026-01-03 03:02:20.624674,192.168.3.16,kwilson,Multiple failed SSH attempts detected from 192.168.8.64,brute_force
2026-01-03 03:28:32.624674,192.168.9.138,admin,Authentication successful for user mjones,normal
2026-01-03 03:36:39.624674,192.168.7.132,rgarcia,Session started for slee from 192.168.2.191,normal
2026-01-03 03:37:51.624674,192.168.1.178,aanderson,User root accessed file backup.zip,normal
2026-01-03 03:48:54.624674,192.168.8.192,aanderson,User aanderson accessed file budget.xlsx,normal
2026-01-03 03:56:58.624674,192.168.7.132,dbrown,User kwilson logged in successfully from 192.168.6.148,normal
2026-01-03 04:05:40.624674,192.168.1.47,root,Unauthorized data transfer to cloud storage http://fake-bank.com,data_exfil
2026-01-03 04:20:21.624674,192.168.9.111,aanderson,Security alert: ransomware.variant found in user downloads folder,malware
2026-01-03 04:31:07.624674,192.168.1.15,slee,Brute force pattern detected: 495 failed logins from 192.168.3.16,brute_force
2026-01-03 04:31:36.624674,192.168.9.138,mjones,Session started for jsmith from 192.168.7.132,normal
2026-01-03 04:39:53.624674,192.168.9.138,slee,User slee accessed file budget.xlsx,normal
2026-01-03 04:40:07.624674,192.168.3.16,system,Sensitive file credentials.txt transferred to external IP 176.113.169.46,data_exfil
2026-01-03 04:43:38.624674,192.168.10.194,kwilson,Role violation: system attempted to access executive files,insider_threat
2026-01-03 04:43:39.624674,192.168.6.148,root,Multiple failed SSH attempts detected from 192.168.1.15,brute_force
2026-01-03 04:56:29.624674,192.168.3.16,rgarcia,Session started for jsmith from 192.168.10.194,normal
2026-01-03 05:05:57.624674,192.168.10.22,system,Fake login page detected: http://phishing-site.com/login impersonating internal portal,phishing
2026-01-03 05:17:54.624674,192.168.6.50,admin,Unauthorized data transfer to cloud storage http://fake-bank.com,data_exfil
2026-01-03 05:20:35.624674,192.168.3.16,root,Invalid password attempt for user kwilson,brute_force
2026-01-03 05:22:15.624674,192.168.6.34,rgarcia,User kwilson accessed file passwords.db,normal
2026-01-03 05:30:35.624674,192.168.10.163,aanderson,Malware hash 02c972 detected in memory scan,malware
2026-01-03 05:41:29.624674,192.168.10.194,root,Database connection established from 192.168.2.200,normal
2026-01-03 05:56:22.624674,192.168.10.194,rgarcia,User admin logged out successfully,normal
2026-01-03 05:58:54.624674,192.168.1.178,kwilson,Failed login attempt #323 for mjones from 192.168.6.50,brute_force
2026-01-03 06:08:10.624674,192.168.1.15,slee,Failed login attempt #165 for rgarcia from 192.168.9.138,brute_force
