timestamp,user,ip,event_type,status,raw_message
2026-01-03 08:00:01,user1,192.168.1.10,login,failed,Invalid credentials - attempt 1
2026-01-03 08:00:02,user1,192.168.1.10,login,failed,Invalid credentials - attempt 2
2026-01-03 08:00:03,user1,192.168.1.10,login,failed,Invalid credentials - attempt 3
2026-01-03 08:00:04,user1,192.168.1.10,login,failed,Invalid credentials - attempt 4
2026-01-03 08:00:05,user1,192.168.1.10,login,failed,Invalid credentials - attempt 5
2026-01-03 08:00:06,user2,192.168.1.20,login,success,User login successful
2026-01-03 08:00:07,user2,192.168.1.20,file_access,success,Accessed document.pdf
2026-01-03 08:00:08,user3,192.168.1.30,network,success,Connected to server
2026-01-03 08:00:09,user4,192.168.1.40,process,blocked,Blocked suspicious.exe execution
2026-01-03 08:00:10,user4,192.168.1.40,process,blocked,Blocked malware.sys loading
2026-01-03 08:01:01,user1,192.168.1.10,login,failed,Invalid credentials - attempt 6
2026-01-03 08:01:02,user1,192.168.1.10,login,failed,Invalid credentials - attempt 7
2026-01-03 08:01:03,user1,192.168.1.10,login,failed,Invalid credentials - attempt 8
2026-01-03 08:01:04,user1,192.168.1.10,login,failed,Invalid credentials - attempt 9
2026-01-03 08:01:05,user1,192.168.1.10,login,failed,Invalid credentials - attempt 10
2026-01-03 08:01:06,user5,192.168.1.50,login,success,User login successful
2026-01-03 08:01:07,user5,192.168.1.50,file_access,success,Downloaded report.xlsx
2026-01-03 08:01:08,user6,192.168.1.60,network,success,Uploaded data.zip
2026-01-03 08:01:09,user7,192.168.1.70,process,blocked,Blocked ransomware.exe
2026-01-03 08:01:10,user7,192.168.1.70,process,blocked,Blocked crypto_miner.dll
2026-01-03 08:02:01,user1,192.168.1.10,login,failed,Invalid credentials - attempt 11
2026-01-03 08:02:02,user1,192.168.1.10,login,failed,Invalid credentials - attempt 12
2026-01-03 08:02:03,user1,192.168.1.10,login,failed,Invalid credentials - attempt 13
2026-01-03 08:02:04,user1,192.168.1.10,login,failed,Invalid credentials - attempt 14
2026-01-03 08:02:05,user1,192.168.1.10,login,failed,Invalid credentials - attempt 15
2026-01-03 08:02:06,user8,192.168.1.80,login,success,User login successful
2026-01-03 08:02:07,user8,192.168.1.80,file_access,success,Accessed config.ini
2026-01-03 08:02:08,user9,192.168.1.90,network,success,Connected to database
2026-01-03 08:02:09,user10,192.168.1.100,process,blocked,Blocked trojan.exe
2026-01-03 08:02:10,user10,192.168.1.100,process,blocked,Blocked spyware.bin
2026-01-03 08:03:01,user1,192.168.1.10,login,failed,Invalid credentials - attempt 16
2026-01-03 08:03:02,user1,192.168.1.10,login,failed,Invalid credentials - attempt 17
2026-01-03 08:03:03,user1,192.168.1.10,login,failed,Invalid credentials - attempt 18
2026-01-03 08:03:04,user1,192.168.1.10,login,failed,Invalid credentials - attempt 19
2026-01-03 08:03:05,user1,192.168.1.10,login,failed,Invalid credentials - attempt 20
