alert1_ip,alert2_ip,time_diff_minutes,threat_type,correlation_text,should_correlate
192.168.6.76,192.168.5.176,67,brute_force,Isolated brute_force from 192.168.6.76 not related to other activity,0
192.168.9.101,192.168.9.126,5,brute_force,"user1 at 192.168.9.101 attempted data access, then alice at 192.168.9.126 accessed same resource",1
192.168.2.151,192.168.6.201,61,brute_force,Unique threat pattern at 192.168.2.151 no correlation,0
192.168.7.26,192.168.7.101,2,brute_force,Failed login from 192.168.7.26 followed by failed login from 192.168.7.101 within 2 minutes,1
192.168.1.201,192.168.1.176,3,brute_force,"admin at 192.168.1.201 attempted data access, then user2 at 192.168.1.176 accessed same resource",1
192.168.7.26,192.168.7.51,3,brute_force,Failed login from 192.168.7.26 followed by failed login from 192.168.7.51 within 2 minutes,1
192.168.2.151,192.168.3.1,91,brute_force,Single point brute_force detection at 192.168.2.151 independent,0
192.168.8.126,192.168.8.201,1,brute_force,Alert streak: brute_force detected at 192.168.8.126 and 192.168.8.201 in 5-min window,1
192.168.8.176,192.168.8.101,2,brute_force,Alert streak: brute_force detected at 192.168.8.176 and 192.168.8.101 in 5-min window,1
192.168.3.226,192.168.3.26,4,brute_force,"david at 192.168.3.226 attempted data access, then eve at 192.168.3.26 accessed same resource",1
192.168.9.1,192.168.8.26,73,brute_force,Single user user1 at 192.168.9.1 suspicious activity standalone,0
192.168.7.226,192.168.2.126,74,brute_force,Unique threat pattern at 192.168.7.226 no correlation,0
192.168.1.176,192.168.2.151,103,brute_force,Isolated brute_force from 192.168.1.176 not related to other activity,0
192.168.2.26,192.168.2.176,4,brute_force,Correlated threat: brute_force activity from 192.168.2.26 and 192.168.2.176 same source network,1
192.168.7.76,192.168.3.51,37,brute_force,brute_force attack from 192.168.7.76 unrelated to other incidents,0
192.168.6.1,192.168.6.101,2,brute_force,Correlated threat: brute_force activity from 192.168.6.1 and 192.168.6.101 same source network,1
192.168.5.176,192.168.6.76,109,brute_force,Single point brute_force detection at 192.168.5.176 independent,0
192.168.1.1,192.168.1.201,1,brute_force,Failed login from 192.168.1.1 followed by failed login from 192.168.1.201 within 2 minutes,1
192.168.5.201,192.168.5.151,2,brute_force,"charlie at 192.168.5.201 attempted data access, then alice at 192.168.5.151 accessed same resource",1
192.168.9.201,192.168.2.76,107,brute_force,Isolated brute_force from 192.168.9.201 not related to other activity,0
192.168.7.126,192.168.7.126,3,brute_force,"eve at 192.168.7.126 attempted data access, then admin at 192.168.7.126 accessed same resource",1
192.168.5.151,192.168.5.201,5,brute_force,"admin at 192.168.5.151 attempted data access, then user1 at 192.168.5.201 accessed same resource",1
192.168.7.51,192.168.7.151,1,brute_force,"user2 at 192.168.7.51 attempted data access, then user1 at 192.168.7.151 accessed same resource",1
192.168.3.51,192.168.8.101,85,brute_force,brute_force attack from 192.168.3.51 unrelated to other incidents,0
192.168.1.151,192.168.8.201,32,brute_force,Single user david at 192.168.1.151 suspicious activity standalone,0
192.168.4.226,192.168.5.1,78,brute_force,brute_force attack from 192.168.4.226 unrelated to other incidents,0
192.168.2.51,192.168.2.126,5,brute_force,"alice at 192.168.2.51 attempted data access, then admin at 192.168.2.126 accessed same resource",1
192.168.2.126,192.168.2.151,3,brute_force,Correlated threat: brute_force activity from 192.168.2.126 and 192.168.2.151 same source network,1
192.168.4.1,192.168.4.51,1,brute_force,Alert streak: brute_force detected at 192.168.4.1 and 192.168.4.51 in 5-min window,1
192.168.9.76,192.168.5.201,119,brute_force,Isolated brute_force from 192.168.9.76 not related to other activity,0
