alert1_ip,alert2_ip,time_diff_minutes,threat_type,correlation_text,should_correlate
192.168.3.101,192.168.8.76,49,data_exfil,data_exfil attack from 192.168.3.101 unrelated to other incidents,0
192.168.9.226,192.168.2.51,46,data_exfil,Unique threat pattern at 192.168.9.226 no correlation,0
192.168.8.51,192.168.8.226,2,data_exfil,Alert streak: data_exfil detected at 192.168.8.51 and 192.168.8.226 in 5-min window,1
192.168.5.126,192.168.4.201,118,data_exfil,Unique threat pattern at 192.168.5.126 no correlation,0
192.168.4.151,192.168.4.226,5,data_exfil,Alert streak: data_exfil detected at 192.168.4.151 and 192.168.4.226 in 5-min window,1
192.168.1.51,192.168.1.51,5,data_exfil,Alert streak: data_exfil detected at 192.168.1.51 and 192.168.1.51 in 5-min window,1
192.168.3.176,192.168.8.126,111,data_exfil,Single user charlie at 192.168.3.176 suspicious activity standalone,0
192.168.3.126,192.168.3.176,3,data_exfil,Alert streak: data_exfil detected at 192.168.3.126 and 192.168.3.176 in 5-min window,1
192.168.8.151,192.168.8.26,2,data_exfil,"bob at 192.168.8.151 attempted data access, then admin at 192.168.8.26 accessed same resource",1
192.168.1.76,192.168.1.101,2,data_exfil,Multiple data_exfil attacks: 192.168.1.76 -> 192.168.1.101 with common pattern,1
192.168.7.1,192.168.2.51,101,data_exfil,Single point data_exfil detection at 192.168.7.1 independent,0
192.168.9.76,192.168.9.151,4,data_exfil,Multiple data_exfil attacks: 192.168.9.76 -> 192.168.9.151 with common pattern,1
192.168.8.176,192.168.4.76,87,data_exfil,data_exfil attack from 192.168.8.176 unrelated to other incidents,0
192.168.4.51,192.168.4.201,1,data_exfil,Correlated threat: data_exfil activity from 192.168.4.51 and 192.168.4.201 same source network,1
192.168.1.76,192.168.1.176,4,data_exfil,Multiple data_exfil attacks: 192.168.1.76 -> 192.168.1.176 with common pattern,1
192.168.9.226,192.168.6.176,117,data_exfil,Isolated data_exfil from 192.168.9.226 not related to other activity,0
192.168.6.176,192.168.7.76,51,data_exfil,Unique threat pattern at 192.168.6.176 no correlation,0
192.168.6.26,192.168.5.1,45,data_exfil,Single user user2 at 192.168.6.26 suspicious activity standalone,0
192.168.6.201,192.168.5.26,43,data_exfil,Unique threat pattern at 192.168.6.201 no correlation,0
192.168.2.126,192.168.5.176,32,data_exfil,Single user charlie at 192.168.2.126 suspicious activity standalone,0
192.168.6.1,192.168.9.51,73,data_exfil,Single point data_exfil detection at 192.168.6.1 independent,0
192.168.5.151,192.168.5.101,3,data_exfil,"admin at 192.168.5.151 attempted data access, then alice at 192.168.5.101 accessed same resource",1
192.168.5.226,192.168.8.26,110,data_exfil,Single user user1 at 192.168.5.226 suspicious activity standalone,0
192.168.6.176,192.168.4.226,114,data_exfil,Single user alice at 192.168.6.176 suspicious activity standalone,0
192.168.8.151,192.168.8.226,1,data_exfil,Failed login from 192.168.8.151 followed by failed login from 192.168.8.226 within 2 minutes,1
192.168.3.26,192.168.7.151,44,data_exfil,Isolated data_exfil from 192.168.3.26 not related to other activity,0
192.168.5.126,192.168.5.126,2,data_exfil,Correlated threat: data_exfil activity from 192.168.5.126 and 192.168.5.126 same source network,1
192.168.5.76,192.168.5.1,1,data_exfil,Alert streak: data_exfil detected at 192.168.5.76 and 192.168.5.1 in 5-min window,1
192.168.4.126,192.168.4.126,1,data_exfil,Multiple data_exfil attacks: 192.168.4.126 -> 192.168.4.126 with common pattern,1
192.168.3.26,192.168.8.101,64,data_exfil,data_exfil attack from 192.168.3.26 unrelated to other incidents,0
192.168.6.151,192.168.6.101,4,data_exfil,Failed login from 192.168.6.151 followed by failed login from 192.168.6.101 within 2 minutes,1
192.168.4.201,192.168.4.151,1,data_exfil,Failed login from 192.168.4.201 followed by failed login from 192.168.4.151 within 2 minutes,1
192.168.1.151,192.168.3.126,46,data_exfil,data_exfil attack from 192.168.1.151 unrelated to other incidents,0
192.168.6.101,192.168.6.176,2,data_exfil,"charlie at 192.168.6.101 attempted data access, then admin at 192.168.6.176 accessed same resource",1
192.168.4.26,192.168.4.126,5,data_exfil,Correlated threat: data_exfil activity from 192.168.4.26 and 192.168.4.126 same source network,1
192.168.8.101,192.168.8.151,1,data_exfil,Alert streak: data_exfil detected at 192.168.8.101 and 192.168.8.151 in 5-min window,1
192.168.5.226,192.168.5.126,2,data_exfil,"alice at 192.168.5.226 attempted data access, then eve at 192.168.5.126 accessed same resource",1
192.168.4.26,192.168.4.76,1,data_exfil,Failed login from 192.168.4.26 followed by failed login from 192.168.4.76 within 2 minutes,1
192.168.1.51,192.168.6.26,111,data_exfil,Unique threat pattern at 192.168.1.51 no correlation,0
192.168.1.51,192.168.9.226,69,data_exfil,data_exfil attack from 192.168.1.51 unrelated to other incidents,0
192.168.2.226,192.168.2.76,5,data_exfil,Correlated threat: data_exfil activity from 192.168.2.226 and 192.168.2.76 same source network,1
192.168.7.176,192.168.3.201,35,data_exfil,data_exfil attack from 192.168.7.176 unrelated to other incidents,0
192.168.5.151,192.168.5.201,5,data_exfil,Multiple data_exfil attacks: 192.168.5.151 -> 192.168.5.201 with common pattern,1
192.168.5.126,192.168.5.26,2,data_exfil,"david at 192.168.5.126 attempted data access, then eve at 192.168.5.26 accessed same resource",1
192.168.9.101,192.168.9.101,5,data_exfil,Correlated threat: data_exfil activity from 192.168.9.101 and 192.168.9.101 same source network,1
192.168.8.201,192.168.8.201,5,data_exfil,Alert streak: data_exfil detected at 192.168.8.201 and 192.168.8.201 in 5-min window,1
192.168.4.101,192.168.6.51,43,data_exfil,Isolated data_exfil from 192.168.4.101 not related to other activity,0
192.168.9.1,192.168.9.101,1,data_exfil,Correlated threat: data_exfil activity from 192.168.9.1 and 192.168.9.101 same source network,1
192.168.2.126,192.168.4.101,33,data_exfil,Single point data_exfil detection at 192.168.2.126 independent,0
192.168.4.176,192.168.6.51,116,data_exfil,data_exfil attack from 192.168.4.176 unrelated to other incidents,0
192.168.8.201,192.168.7.101,63,data_exfil,Single point data_exfil detection at 192.168.8.201 independent,0
192.168.7.101,192.168.7.126,4,data_exfil,"bob at 192.168.7.101 attempted data access, then admin at 192.168.7.126 accessed same resource",1
192.168.4.176,192.168.3.51,95,data_exfil,Unique threat pattern at 192.168.4.176 no correlation,0
192.168.6.226,192.168.6.1,2,data_exfil,Correlated threat: data_exfil activity from 192.168.6.226 and 192.168.6.1 same source network,1
192.168.4.151,192.168.8.1,35,data_exfil,Isolated data_exfil from 192.168.4.151 not related to other activity,0
192.168.4.126,192.168.2.26,97,data_exfil,Isolated data_exfil from 192.168.4.126 not related to other activity,0
192.168.6.1,192.168.6.176,3,data_exfil,"alice at 192.168.6.1 attempted data access, then user1 at 192.168.6.176 accessed same resource",1
192.168.1.101,192.168.1.201,3,data_exfil,Correlated threat: data_exfil activity from 192.168.1.101 and 192.168.1.201 same source network,1
192.168.1.51,192.168.1.101,1,data_exfil,Failed login from 192.168.1.51 followed by failed login from 192.168.1.101 within 2 minutes,1
192.168.3.226,192.168.3.226,1,data_exfil,"charlie at 192.168.3.226 attempted data access, then alice at 192.168.3.226 accessed same resource",1
192.168.8.176,192.168.7.151,101,data_exfil,Unique threat pattern at 192.168.8.176 no correlation,0
192.168.5.226,192.168.5.51,4,data_exfil,Failed login from 192.168.5.226 followed by failed login from 192.168.5.51 within 2 minutes,1
192.168.3.201,192.168.3.126,4,data_exfil,Alert streak: data_exfil detected at 192.168.3.201 and 192.168.3.126 in 5-min window,1
192.168.7.101,192.168.4.1,95,data_exfil,Single user bob at 192.168.7.101 suspicious activity standalone,0
192.168.1.1,192.168.1.151,1,data_exfil,Failed login from 192.168.1.1 followed by failed login from 192.168.1.151 within 2 minutes,1
192.168.5.176,192.168.4.26,106,data_exfil,Single point data_exfil detection at 192.168.5.176 independent,0
192.168.2.101,192.168.2.151,2,data_exfil,Correlated threat: data_exfil activity from 192.168.2.101 and 192.168.2.151 same source network,1
192.168.3.101,192.168.9.201,30,data_exfil,Single point data_exfil detection at 192.168.3.101 independent,0
192.168.5.126,192.168.4.101,32,data_exfil,Isolated data_exfil from 192.168.5.126 not related to other activity,0
192.168.5.101,192.168.5.151,3,data_exfil,Correlated threat: data_exfil activity from 192.168.5.101 and 192.168.5.151 same source network,1
192.168.1.101,192.168.9.201,50,data_exfil,Unique threat pattern at 192.168.1.101 no correlation,0
192.168.7.26,192.168.7.151,5,data_exfil,Failed login from 192.168.7.26 followed by failed login from 192.168.7.151 within 2 minutes,1
192.168.7.76,192.168.9.1,101,data_exfil,Isolated data_exfil from 192.168.7.76 not related to other activity,0
192.168.3.226,192.168.3.151,2,data_exfil,Correlated threat: data_exfil activity from 192.168.3.226 and 192.168.3.151 same source network,1
192.168.6.1,192.168.8.151,54,data_exfil,data_exfil attack from 192.168.6.1 unrelated to other incidents,0
192.168.5.176,192.168.5.226,5,data_exfil,Multiple data_exfil attacks: 192.168.5.176 -> 192.168.5.226 with common pattern,1
192.168.6.1,192.168.6.176,3,data_exfil,"alice at 192.168.6.1 attempted data access, then user1 at 192.168.6.176 accessed same resource",1
192.168.3.76,192.168.3.1,2,data_exfil,Failed login from 192.168.3.76 followed by failed login from 192.168.3.1 within 2 minutes,1
192.168.3.201,192.168.5.176,37,data_exfil,Unique threat pattern at 192.168.3.201 no correlation,0
192.168.8.201,192.168.5.26,52,data_exfil,Single user eve at 192.168.8.201 suspicious activity standalone,0
192.168.8.151,192.168.8.1,5,data_exfil,Multiple data_exfil attacks: 192.168.8.151 -> 192.168.8.1 with common pattern,1
192.168.7.76,192.168.8.1,50,data_exfil,Single point data_exfil detection at 192.168.7.76 independent,0
192.168.3.201,192.168.8.101,51,data_exfil,data_exfil attack from 192.168.3.201 unrelated to other incidents,0
192.168.7.176,192.168.7.176,3,data_exfil,Failed login from 192.168.7.176 followed by failed login from 192.168.7.176 within 2 minutes,1
192.168.9.126,192.168.9.201,1,data_exfil,Correlated threat: data_exfil activity from 192.168.9.126 and 192.168.9.201 same source network,1
192.168.7.176,192.168.7.201,2,data_exfil,"alice at 192.168.7.176 attempted data access, then user2 at 192.168.7.201 accessed same resource",1
192.168.9.126,192.168.4.76,110,data_exfil,Unique threat pattern at 192.168.9.126 no correlation,0
192.168.8.176,192.168.8.101,1,data_exfil,Alert streak: data_exfil detected at 192.168.8.176 and 192.168.8.101 in 5-min window,1
192.168.6.126,192.168.6.201,5,data_exfil,"admin at 192.168.6.126 attempted data access, then david at 192.168.6.201 accessed same resource",1
