alert1_ip,alert2_ip,time_diff_minutes,threat_type,correlation_text,should_correlate
192.168.5.26,192.168.5.1,4,ddos,Failed login from 192.168.5.26 followed by failed login from 192.168.5.1 within 2 minutes,1
192.168.7.1,192.168.7.101,3,ddos,Multiple ddos attacks: 192.168.7.1 -> 192.168.7.101 with common pattern,1
192.168.5.26,192.168.5.226,3,ddos,Alert streak: ddos detected at 192.168.5.26 and 192.168.5.226 in 5-min window,1
192.168.3.151,192.168.3.76,5,ddos,"bob at 192.168.3.151 attempted data access, then alice at 192.168.3.76 accessed same resource",1
192.168.3.51,192.168.3.126,5,ddos,"david at 192.168.3.51 attempted data access, then user2 at 192.168.3.126 accessed same resource",1
192.168.7.101,192.168.7.226,1,ddos,Alert streak: ddos detected at 192.168.7.101 and 192.168.7.226 in 5-min window,1
192.168.5.126,192.168.9.51,53,ddos,Unique threat pattern at 192.168.5.126 no correlation,0
192.168.2.126,192.168.2.201,1,ddos,Alert streak: ddos detected at 192.168.2.126 and 192.168.2.201 in 5-min window,1
192.168.1.1,192.168.8.176,97,ddos,ddos attack from 192.168.1.1 unrelated to other incidents,0
192.168.1.51,192.168.1.176,3,ddos,Correlated threat: ddos activity from 192.168.1.51 and 192.168.1.176 same source network,1
192.168.1.226,192.168.6.1,32,ddos,ddos attack from 192.168.1.226 unrelated to other incidents,0
192.168.2.126,192.168.2.26,4,ddos,"alice at 192.168.2.126 attempted data access, then eve at 192.168.2.26 accessed same resource",1
192.168.2.51,192.168.9.151,30,ddos,Single user bob at 192.168.2.51 suspicious activity standalone,0
192.168.6.101,192.168.6.26,5,ddos,Multiple ddos attacks: 192.168.6.101 -> 192.168.6.26 with common pattern,1
192.168.4.176,192.168.4.226,1,ddos,"charlie at 192.168.4.176 attempted data access, then user2 at 192.168.4.226 accessed same resource",1
192.168.7.1,192.168.6.26,102,ddos,Single user admin at 192.168.7.1 suspicious activity standalone,0
192.168.9.176,192.168.2.201,77,ddos,Single point ddos detection at 192.168.9.176 independent,0
192.168.4.201,192.168.4.126,3,ddos,Alert streak: ddos detected at 192.168.4.201 and 192.168.4.126 in 5-min window,1
