alert1_ip,alert2_ip,time_diff_minutes,threat_type,correlation_text,should_correlate
192.168.1.26,192.168.1.76,1,phishing,Failed login from 192.168.1.26 followed by failed login from 192.168.1.76 within 2 minutes,1
192.168.2.201,192.168.2.101,3,phishing,"user2 at 192.168.2.201 attempted data access, then user1 at 192.168.2.101 accessed same resource",1
192.168.5.176,192.168.5.226,3,phishing,Correlated threat: phishing activity from 192.168.5.176 and 192.168.5.226 same source network,1
192.168.6.101,192.168.6.101,5,phishing,Correlated threat: phishing activity from 192.168.6.101 and 192.168.6.101 same source network,1
192.168.7.26,192.168.7.1,2,phishing,Failed login from 192.168.7.26 followed by failed login from 192.168.7.1 within 2 minutes,1
192.168.7.226,192.168.3.101,59,phishing,Single point phishing detection at 192.168.7.226 independent,0
192.168.1.51,192.168.1.26,5,phishing,Alert streak: phishing detected at 192.168.1.51 and 192.168.1.26 in 5-min window,1
192.168.8.101,192.168.9.101,55,phishing,Unique threat pattern at 192.168.8.101 no correlation,0
192.168.5.101,192.168.1.101,70,phishing,Single user user1 at 192.168.5.101 suspicious activity standalone,0
192.168.9.201,192.168.9.51,2,phishing,Failed login from 192.168.9.201 followed by failed login from 192.168.9.51 within 2 minutes,1
192.168.2.101,192.168.1.76,107,phishing,Single user user2 at 192.168.2.101 suspicious activity standalone,0
192.168.3.101,192.168.8.201,112,phishing,Isolated phishing from 192.168.3.101 not related to other activity,0
192.168.8.76,192.168.6.26,46,phishing,Single point phishing detection at 192.168.8.76 independent,0
192.168.1.201,192.168.4.101,59,phishing,phishing attack from 192.168.1.201 unrelated to other incidents,0
192.168.8.1,192.168.2.176,81,phishing,Unique threat pattern at 192.168.8.1 no correlation,0
192.168.7.176,192.168.7.151,1,phishing,Correlated threat: phishing activity from 192.168.7.176 and 192.168.7.151 same source network,1
192.168.4.201,192.168.4.76,3,phishing,"admin at 192.168.4.201 attempted data access, then david at 192.168.4.76 accessed same resource",1
192.168.8.26,192.168.8.76,3,phishing,Alert streak: phishing detected at 192.168.8.26 and 192.168.8.76 in 5-min window,1
192.168.3.101,192.168.3.76,3,phishing,Failed login from 192.168.3.101 followed by failed login from 192.168.3.76 within 2 minutes,1
192.168.2.76,192.168.2.26,1,phishing,Failed login from 192.168.2.76 followed by failed login from 192.168.2.26 within 2 minutes,1
192.168.6.151,192.168.8.101,47,phishing,Unique threat pattern at 192.168.6.151 no correlation,0
192.168.9.76,192.168.9.226,1,phishing,Multiple phishing attacks: 192.168.9.76 -> 192.168.9.226 with common pattern,1
192.168.3.51,192.168.3.126,1,phishing,"charlie at 192.168.3.51 attempted data access, then bob at 192.168.3.126 accessed same resource",1
192.168.1.76,192.168.1.201,3,phishing,Failed login from 192.168.1.76 followed by failed login from 192.168.1.201 within 2 minutes,1
192.168.5.26,192.168.1.76,81,phishing,phishing attack from 192.168.5.26 unrelated to other incidents,0
192.168.3.101,192.168.7.126,36,phishing,phishing attack from 192.168.3.101 unrelated to other incidents,0
192.168.6.176,192.168.3.26,47,phishing,Unique threat pattern at 192.168.6.176 no correlation,0
192.168.4.51,192.168.3.76,105,phishing,Unique threat pattern at 192.168.4.51 no correlation,0
192.168.3.126,192.168.8.226,91,phishing,Unique threat pattern at 192.168.3.126 no correlation,0
192.168.9.1,192.168.1.226,61,phishing,Isolated phishing from 192.168.9.1 not related to other activity,0
192.168.1.101,192.168.1.26,4,phishing,"charlie at 192.168.1.101 attempted data access, then david at 192.168.1.26 accessed same resource",1
192.168.2.226,192.168.2.151,5,phishing,Alert streak: phishing detected at 192.168.2.226 and 192.168.2.151 in 5-min window,1
192.168.6.1,192.168.9.101,36,phishing,Isolated phishing from 192.168.6.1 not related to other activity,0
192.168.5.26,192.168.5.151,4,phishing,Alert streak: phishing detected at 192.168.5.26 and 192.168.5.151 in 5-min window,1
192.168.1.101,192.168.6.26,101,phishing,Single user user2 at 192.168.1.101 suspicious activity standalone,0
192.168.3.176,192.168.2.126,118,phishing,Single user david at 192.168.3.176 suspicious activity standalone,0
192.168.2.226,192.168.1.1,77,phishing,Unique threat pattern at 192.168.2.226 no correlation,0
192.168.1.101,192.168.1.101,5,phishing,Correlated threat: phishing activity from 192.168.1.101 and 192.168.1.101 same source network,1
192.168.2.101,192.168.2.101,5,phishing,Failed login from 192.168.2.101 followed by failed login from 192.168.2.101 within 2 minutes,1
192.168.3.1,192.168.3.51,2,phishing,Multiple phishing attacks: 192.168.3.1 -> 192.168.3.51 with common pattern,1
192.168.7.176,192.168.4.126,120,phishing,Unique threat pattern at 192.168.7.176 no correlation,0
192.168.2.76,192.168.2.1,5,phishing,"bob at 192.168.2.76 attempted data access, then david at 192.168.2.1 accessed same resource",1
192.168.8.101,192.168.8.226,2,phishing,Correlated threat: phishing activity from 192.168.8.101 and 192.168.8.226 same source network,1
192.168.3.101,192.168.2.51,112,phishing,Isolated phishing from 192.168.3.101 not related to other activity,0
192.168.8.126,192.168.2.176,114,phishing,Single point phishing detection at 192.168.8.126 independent,0
192.168.1.101,192.168.4.26,66,phishing,phishing attack from 192.168.1.101 unrelated to other incidents,0
192.168.8.226,192.168.8.126,1,phishing,Correlated threat: phishing activity from 192.168.8.226 and 192.168.8.126 same source network,1
192.168.8.126,192.168.9.26,105,phishing,Single point phishing detection at 192.168.8.126 independent,0
192.168.6.51,192.168.6.176,2,phishing,Correlated threat: phishing activity from 192.168.6.51 and 192.168.6.176 same source network,1
192.168.9.201,192.168.9.151,5,phishing,Alert streak: phishing detected at 192.168.9.201 and 192.168.9.151 in 5-min window,1
192.168.7.26,192.168.8.226,51,phishing,Unique threat pattern at 192.168.7.26 no correlation,0
192.168.1.126,192.168.2.126,35,phishing,Single point phishing detection at 192.168.1.126 independent,0
192.168.8.226,192.168.8.51,4,phishing,Alert streak: phishing detected at 192.168.8.226 and 192.168.8.51 in 5-min window,1
192.168.9.76,192.168.9.76,5,phishing,Failed login from 192.168.9.76 followed by failed login from 192.168.9.76 within 2 minutes,1
192.168.3.126,192.168.6.126,64,phishing,Single point phishing detection at 192.168.3.126 independent,0
192.168.8.76,192.168.8.151,2,phishing,Alert streak: phishing detected at 192.168.8.76 and 192.168.8.151 in 5-min window,1
192.168.5.51,192.168.5.201,3,phishing,Correlated threat: phishing activity from 192.168.5.51 and 192.168.5.201 same source network,1
192.168.2.101,192.168.9.51,112,phishing,Isolated phishing from 192.168.2.101 not related to other activity,0
192.168.6.226,192.168.6.76,1,phishing,Alert streak: phishing detected at 192.168.6.226 and 192.168.6.76 in 5-min window,1
192.168.6.151,192.168.4.151,46,phishing,Isolated phishing from 192.168.6.151 not related to other activity,0
192.168.8.1,192.168.5.176,87,phishing,Single user david at 192.168.8.1 suspicious activity standalone,0
192.168.3.226,192.168.3.176,5,phishing,Multiple phishing attacks: 192.168.3.226 -> 192.168.3.176 with common pattern,1
192.168.6.126,192.168.5.176,98,phishing,Single user bob at 192.168.6.126 suspicious activity standalone,0
192.168.2.1,192.168.2.1,1,phishing,"charlie at 192.168.2.1 attempted data access, then admin at 192.168.2.1 accessed same resource",1
192.168.1.151,192.168.5.1,70,phishing,Single point phishing detection at 192.168.1.151 independent,0
192.168.1.201,192.168.9.101,44,phishing,phishing attack from 192.168.1.201 unrelated to other incidents,0
192.168.8.51,192.168.8.76,1,phishing,"admin at 192.168.8.51 attempted data access, then user1 at 192.168.8.76 accessed same resource",1
192.168.2.101,192.168.2.1,5,phishing,Correlated threat: phishing activity from 192.168.2.101 and 192.168.2.1 same source network,1
192.168.1.176,192.168.5.226,81,phishing,Unique threat pattern at 192.168.1.176 no correlation,0
192.168.6.226,192.168.9.26,89,phishing,Single point phishing detection at 192.168.6.226 independent,0
192.168.4.26,192.168.4.76,1,phishing,"eve at 192.168.4.26 attempted data access, then user2 at 192.168.4.76 accessed same resource",1
192.168.4.51,192.168.4.226,1,phishing,Failed login from 192.168.4.51 followed by failed login from 192.168.4.226 within 2 minutes,1
192.168.4.1,192.168.4.51,1,phishing,Failed login from 192.168.4.1 followed by failed login from 192.168.4.51 within 2 minutes,1
192.168.2.126,192.168.7.76,42,phishing,Unique threat pattern at 192.168.2.126 no correlation,0
192.168.9.76,192.168.9.1,5,phishing,Alert streak: phishing detected at 192.168.9.76 and 192.168.9.1 in 5-min window,1
192.168.8.201,192.168.6.226,80,phishing,Single user user1 at 192.168.8.201 suspicious activity standalone,0
192.168.3.176,192.168.6.26,98,phishing,Isolated phishing from 192.168.3.176 not related to other activity,0
192.168.3.26,192.168.3.151,2,phishing,Multiple phishing attacks: 192.168.3.26 -> 192.168.3.151 with common pattern,1
192.168.7.176,192.168.7.101,2,phishing,"user2 at 192.168.7.176 attempted data access, then user1 at 192.168.7.101 accessed same resource",1
192.168.7.26,192.168.7.201,2,phishing,Failed login from 192.168.7.26 followed by failed login from 192.168.7.201 within 2 minutes,1
192.168.8.101,192.168.7.26,50,phishing,Isolated phishing from 192.168.8.101 not related to other activity,0
192.168.9.151,192.168.9.51,2,phishing,Alert streak: phishing detected at 192.168.9.151 and 192.168.9.51 in 5-min window,1
192.168.4.126,192.168.4.101,3,phishing,Failed login from 192.168.4.126 followed by failed login from 192.168.4.101 within 2 minutes,1
192.168.8.176,192.168.8.126,1,phishing,Alert streak: phishing detected at 192.168.8.176 and 192.168.8.126 in 5-min window,1
192.168.6.176,192.168.9.26,101,phishing,Single user david at 192.168.6.176 suspicious activity standalone,0
192.168.7.201,192.168.8.201,117,phishing,Unique threat pattern at 192.168.7.201 no correlation,0
192.168.6.76,192.168.6.26,4,phishing,"eve at 192.168.6.76 attempted data access, then charlie at 192.168.6.26 accessed same resource",1
192.168.7.76,192.168.7.226,2,phishing,Alert streak: phishing detected at 192.168.7.76 and 192.168.7.226 in 5-min window,1
192.168.1.226,192.168.9.76,52,phishing,Isolated phishing from 192.168.1.226 not related to other activity,0
192.168.9.51,192.168.9.226,5,phishing,Failed login from 192.168.9.51 followed by failed login from 192.168.9.226 within 2 minutes,1
192.168.6.76,192.168.6.176,3,phishing,Correlated threat: phishing activity from 192.168.6.76 and 192.168.6.176 same source network,1
