alert1_ip,alert2_ip,time_diff_minutes,threat_type,correlation_text,should_correlate
192.168.2.176,192.168.8.51,83,ransomware,Single user alice at 192.168.2.176 suspicious activity standalone,0
192.168.4.201,192.168.4.126,5,ransomware,Multiple ransomware attacks: 192.168.4.201 -> 192.168.4.126 with common pattern,1
192.168.1.101,192.168.1.101,2,ransomware,Failed login from 192.168.1.101 followed by failed login from 192.168.1.101 within 2 minutes,1
192.168.6.1,192.168.6.76,1,ransomware,Alert streak: ransomware detected at 192.168.6.1 and 192.168.6.76 in 5-min window,1
192.168.4.151,192.168.4.101,2,ransomware,"eve at 192.168.4.151 attempted data access, then admin at 192.168.4.101 accessed same resource",1
192.168.6.76,192.168.6.151,3,ransomware,Correlated threat: ransomware activity from 192.168.6.76 and 192.168.6.151 same source network,1
192.168.6.1,192.168.6.76,3,ransomware,"bob at 192.168.6.1 attempted data access, then david at 192.168.6.76 accessed same resource",1
192.168.9.101,192.168.3.201,90,ransomware,Single point ransomware detection at 192.168.9.101 independent,0
192.168.9.26,192.168.6.126,72,ransomware,Single user user1 at 192.168.9.26 suspicious activity standalone,0
192.168.5.26,192.168.5.176,5,ransomware,Failed login from 192.168.5.26 followed by failed login from 192.168.5.176 within 2 minutes,1
192.168.1.226,192.168.1.201,5,ransomware,Multiple ransomware attacks: 192.168.1.226 -> 192.168.1.201 with common pattern,1
192.168.5.101,192.168.5.176,4,ransomware,Alert streak: ransomware detected at 192.168.5.101 and 192.168.5.176 in 5-min window,1
192.168.9.201,192.168.9.126,1,ransomware,Failed login from 192.168.9.201 followed by failed login from 192.168.9.126 within 2 minutes,1
192.168.8.51,192.168.8.201,4,ransomware,Correlated threat: ransomware activity from 192.168.8.51 and 192.168.8.201 same source network,1
192.168.1.226,192.168.3.151,74,ransomware,Single point ransomware detection at 192.168.1.226 independent,0
192.168.2.126,192.168.3.201,78,ransomware,Single user user1 at 192.168.2.126 suspicious activity standalone,0
192.168.6.126,192.168.6.26,2,ransomware,Correlated threat: ransomware activity from 192.168.6.126 and 192.168.6.26 same source network,1
192.168.6.176,192.168.6.101,3,ransomware,"charlie at 192.168.6.176 attempted data access, then david at 192.168.6.101 accessed same resource",1
192.168.9.101,192.168.9.76,4,ransomware,Correlated threat: ransomware activity from 192.168.9.101 and 192.168.9.76 same source network,1
192.168.9.226,192.168.9.1,4,ransomware,Multiple ransomware attacks: 192.168.9.226 -> 192.168.9.1 with common pattern,1
192.168.1.151,192.168.1.51,3,ransomware,Multiple ransomware attacks: 192.168.1.151 -> 192.168.1.51 with common pattern,1
192.168.9.1,192.168.1.176,65,ransomware,Isolated ransomware from 192.168.9.1 not related to other activity,0
192.168.8.101,192.168.8.26,3,ransomware,Alert streak: ransomware detected at 192.168.8.101 and 192.168.8.26 in 5-min window,1
192.168.3.51,192.168.3.76,2,ransomware,"eve at 192.168.3.51 attempted data access, then user2 at 192.168.3.76 accessed same resource",1
192.168.1.1,192.168.8.226,86,ransomware,Isolated ransomware from 192.168.1.1 not related to other activity,0
192.168.5.76,192.168.9.226,105,ransomware,Single point ransomware detection at 192.168.5.76 independent,0
