alert1_ip,alert2_ip,time_diff_minutes,threat_type,correlation_text,should_correlate
192.168.6.76,192.168.5.176,67,brute_force,Isolated brute_force from 192.168.6.76 not related to other activity,0
192.168.2.201,192.168.2.26,2,insider_threat,Correlated threat: insider_threat activity from 192.168.2.201 and 192.168.2.26 same source network,1
192.168.9.151,192.168.9.151,4,insider_threat,Multiple insider_threat attacks: 192.168.9.151 -> 192.168.9.151 with common pattern,1
192.168.5.26,192.168.5.101,2,malware,Multiple malware attacks: 192.168.5.26 -> 192.168.5.101 with common pattern,1
192.168.1.26,192.168.1.76,1,phishing,Failed login from 192.168.1.26 followed by failed login from 192.168.1.76 within 2 minutes,1
192.168.6.1,192.168.6.76,5,insider_threat,Failed login from 192.168.6.1 followed by failed login from 192.168.6.76 within 2 minutes,1
192.168.3.101,192.168.8.76,49,data_exfil,data_exfil attack from 192.168.3.101 unrelated to other incidents,0
192.168.5.151,192.168.5.76,1,malware,Multiple malware attacks: 192.168.5.151 -> 192.168.5.76 with common pattern,1
192.168.5.26,192.168.5.1,4,ddos,Failed login from 192.168.5.26 followed by failed login from 192.168.5.1 within 2 minutes,1
192.168.9.226,192.168.2.51,46,data_exfil,Unique threat pattern at 192.168.9.226 no correlation,0
192.168.7.1,192.168.7.101,3,ddos,Multiple ddos attacks: 192.168.7.1 -> 192.168.7.101 with common pattern,1
192.168.8.126,192.168.8.51,4,insider_threat,Multiple insider_threat attacks: 192.168.8.126 -> 192.168.8.51 with common pattern,1
192.168.8.51,192.168.8.226,2,data_exfil,Alert streak: data_exfil detected at 192.168.8.51 and 192.168.8.226 in 5-min window,1
192.168.9.101,192.168.9.126,5,brute_force,"user1 at 192.168.9.101 attempted data access, then alice at 192.168.9.126 accessed same resource",1
192.168.2.201,192.168.2.101,3,phishing,"user2 at 192.168.2.201 attempted data access, then user1 at 192.168.2.101 accessed same resource",1
192.168.2.151,192.168.6.201,61,brute_force,Unique threat pattern at 192.168.2.151 no correlation,0
192.168.5.176,192.168.5.226,3,phishing,Correlated threat: phishing activity from 192.168.5.176 and 192.168.5.226 same source network,1
192.168.7.1,192.168.4.1,51,insider_threat,Unique threat pattern at 192.168.7.1 no correlation,0
192.168.6.101,192.168.6.101,5,phishing,Correlated threat: phishing activity from 192.168.6.101 and 192.168.6.101 same source network,1
192.168.5.126,192.168.4.201,118,data_exfil,Unique threat pattern at 192.168.5.126 no correlation,0
192.168.5.26,192.168.5.226,3,ddos,Alert streak: ddos detected at 192.168.5.26 and 192.168.5.226 in 5-min window,1
192.168.7.26,192.168.7.1,2,phishing,Failed login from 192.168.7.26 followed by failed login from 192.168.7.1 within 2 minutes,1
192.168.7.226,192.168.3.101,59,phishing,Single point phishing detection at 192.168.7.226 independent,0
192.168.4.151,192.168.4.226,5,data_exfil,Alert streak: data_exfil detected at 192.168.4.151 and 192.168.4.226 in 5-min window,1
192.168.1.51,192.168.1.26,5,phishing,Alert streak: phishing detected at 192.168.1.51 and 192.168.1.26 in 5-min window,1
192.168.2.76,192.168.6.151,86,malware,malware attack from 192.168.2.76 unrelated to other incidents,0
192.168.6.126,192.168.3.176,106,insider_threat,Unique threat pattern at 192.168.6.126 no correlation,0
192.168.8.101,192.168.9.101,55,phishing,Unique threat pattern at 192.168.8.101 no correlation,0
192.168.7.1,192.168.7.101,1,insider_threat,Multiple insider_threat attacks: 192.168.7.1 -> 192.168.7.101 with common pattern,1
192.168.1.51,192.168.1.51,5,data_exfil,Alert streak: data_exfil detected at 192.168.1.51 and 192.168.1.51 in 5-min window,1
192.168.5.101,192.168.1.101,70,phishing,Single user user1 at 192.168.5.101 suspicious activity standalone,0
192.168.2.176,192.168.8.51,83,ransomware,Single user alice at 192.168.2.176 suspicious activity standalone,0
192.168.9.201,192.168.9.51,2,phishing,Failed login from 192.168.9.201 followed by failed login from 192.168.9.51 within 2 minutes,1
192.168.3.176,192.168.8.126,111,data_exfil,Single user charlie at 192.168.3.176 suspicious activity standalone,0
192.168.2.101,192.168.1.76,107,phishing,Single user user2 at 192.168.2.101 suspicious activity standalone,0
192.168.3.101,192.168.8.201,112,phishing,Isolated phishing from 192.168.3.101 not related to other activity,0
192.168.3.51,192.168.2.76,47,malware,Single point malware detection at 192.168.3.51 independent,0
192.168.1.226,192.168.1.151,3,insider_threat,Alert streak: insider_threat detected at 192.168.1.226 and 192.168.1.151 in 5-min window,1
192.168.6.151,192.168.9.76,67,insider_threat,Isolated insider_threat from 192.168.6.151 not related to other activity,0
192.168.3.126,192.168.3.176,3,data_exfil,Alert streak: data_exfil detected at 192.168.3.126 and 192.168.3.176 in 5-min window,1
192.168.2.51,192.168.6.126,72,insider_threat,Unique threat pattern at 192.168.2.51 no correlation,0
192.168.4.201,192.168.4.126,5,ransomware,Multiple ransomware attacks: 192.168.4.201 -> 192.168.4.126 with common pattern,1
192.168.7.26,192.168.7.101,2,brute_force,Failed login from 192.168.7.26 followed by failed login from 192.168.7.101 within 2 minutes,1
192.168.3.151,192.168.3.76,5,ddos,"bob at 192.168.3.151 attempted data access, then alice at 192.168.3.76 accessed same resource",1
192.168.1.201,192.168.7.101,32,insider_threat,Isolated insider_threat from 192.168.1.201 not related to other activity,0
192.168.8.151,192.168.8.26,2,data_exfil,"bob at 192.168.8.151 attempted data access, then admin at 192.168.8.26 accessed same resource",1
192.168.1.101,192.168.1.101,2,ransomware,Failed login from 192.168.1.101 followed by failed login from 192.168.1.101 within 2 minutes,1
192.168.6.1,192.168.6.76,1,ransomware,Alert streak: ransomware detected at 192.168.6.1 and 192.168.6.76 in 5-min window,1
192.168.2.226,192.168.7.26,39,insider_threat,Single point insider_threat detection at 192.168.2.226 independent,0
192.168.4.151,192.168.4.101,2,ransomware,"eve at 192.168.4.151 attempted data access, then admin at 192.168.4.101 accessed same resource",1
192.168.6.76,192.168.6.151,3,ransomware,Correlated threat: ransomware activity from 192.168.6.76 and 192.168.6.151 same source network,1
192.168.6.1,192.168.6.76,3,ransomware,"bob at 192.168.6.1 attempted data access, then david at 192.168.6.76 accessed same resource",1
192.168.8.76,192.168.6.26,46,phishing,Single point phishing detection at 192.168.8.76 independent,0
192.168.1.76,192.168.1.101,2,data_exfil,Multiple data_exfil attacks: 192.168.1.76 -> 192.168.1.101 with common pattern,1
192.168.1.201,192.168.4.101,59,phishing,phishing attack from 192.168.1.201 unrelated to other incidents,0
192.168.3.126,192.168.7.76,40,malware,malware attack from 192.168.3.126 unrelated to other incidents,0
192.168.6.101,192.168.6.1,4,malware,"eve at 192.168.6.101 attempted data access, then eve at 192.168.6.1 accessed same resource",1
192.168.8.1,192.168.2.176,81,phishing,Unique threat pattern at 192.168.8.1 no correlation,0
192.168.3.126,192.168.3.126,2,malware,Multiple malware attacks: 192.168.3.126 -> 192.168.3.126 with common pattern,1
192.168.5.26,192.168.5.201,1,malware,"bob at 192.168.5.26 attempted data access, then david at 192.168.5.201 accessed same resource",1
192.168.7.1,192.168.2.51,101,data_exfil,Single point data_exfil detection at 192.168.7.1 independent,0
192.168.9.101,192.168.3.201,90,ransomware,Single point ransomware detection at 192.168.9.101 independent,0
192.168.9.76,192.168.9.151,4,data_exfil,Multiple data_exfil attacks: 192.168.9.76 -> 192.168.9.151 with common pattern,1
192.168.7.176,192.168.7.151,1,phishing,Correlated threat: phishing activity from 192.168.7.176 and 192.168.7.151 same source network,1
192.168.1.201,192.168.1.176,3,brute_force,"admin at 192.168.1.201 attempted data access, then user2 at 192.168.1.176 accessed same resource",1
192.168.8.176,192.168.4.76,87,data_exfil,data_exfil attack from 192.168.8.176 unrelated to other incidents,0
192.168.4.51,192.168.4.201,1,data_exfil,Correlated threat: data_exfil activity from 192.168.4.51 and 192.168.4.201 same source network,1
192.168.1.101,192.168.5.51,114,insider_threat,Single user eve at 192.168.1.101 suspicious activity standalone,0
192.168.1.76,192.168.1.176,4,data_exfil,Multiple data_exfil attacks: 192.168.1.76 -> 192.168.1.176 with common pattern,1
192.168.4.201,192.168.4.76,3,phishing,"admin at 192.168.4.201 attempted data access, then david at 192.168.4.76 accessed same resource",1
192.168.7.26,192.168.7.51,3,brute_force,Failed login from 192.168.7.26 followed by failed login from 192.168.7.51 within 2 minutes,1
192.168.8.126,192.168.8.201,4,insider_threat,Correlated threat: insider_threat activity from 192.168.8.126 and 192.168.8.201 same source network,1
192.168.3.51,192.168.3.126,5,ddos,"david at 192.168.3.51 attempted data access, then user2 at 192.168.3.126 accessed same resource",1
192.168.5.176,192.168.5.1,4,insider_threat,Alert streak: insider_threat detected at 192.168.5.176 and 192.168.5.1 in 5-min window,1
192.168.8.26,192.168.8.76,3,phishing,Alert streak: phishing detected at 192.168.8.26 and 192.168.8.76 in 5-min window,1
192.168.9.226,192.168.6.176,117,data_exfil,Isolated data_exfil from 192.168.9.226 not related to other activity,0
192.168.9.26,192.168.6.126,72,ransomware,Single user user1 at 192.168.9.26 suspicious activity standalone,0
192.168.3.101,192.168.3.76,3,phishing,Failed login from 192.168.3.101 followed by failed login from 192.168.3.76 within 2 minutes,1
192.168.6.176,192.168.7.76,51,data_exfil,Unique threat pattern at 192.168.6.176 no correlation,0
192.168.6.26,192.168.5.1,45,data_exfil,Single user user2 at 192.168.6.26 suspicious activity standalone,0
192.168.7.101,192.168.7.226,1,ddos,Alert streak: ddos detected at 192.168.7.101 and 192.168.7.226 in 5-min window,1
192.168.5.26,192.168.5.176,5,ransomware,Failed login from 192.168.5.26 followed by failed login from 192.168.5.176 within 2 minutes,1
192.168.2.151,192.168.3.1,91,brute_force,Single point brute_force detection at 192.168.2.151 independent,0
192.168.4.51,192.168.9.1,110,malware,Isolated malware from 192.168.4.51 not related to other activity,0
192.168.8.126,192.168.8.201,1,brute_force,Alert streak: brute_force detected at 192.168.8.126 and 192.168.8.201 in 5-min window,1
192.168.9.1,192.168.1.101,86,malware,Isolated malware from 192.168.9.1 not related to other activity,0
192.168.1.226,192.168.1.201,5,ransomware,Multiple ransomware attacks: 192.168.1.226 -> 192.168.1.201 with common pattern,1
192.168.6.201,192.168.5.26,43,data_exfil,Unique threat pattern at 192.168.6.201 no correlation,0
192.168.9.101,192.168.1.176,44,insider_threat,Unique threat pattern at 192.168.9.101 no correlation,0
192.168.8.176,192.168.8.101,2,brute_force,Alert streak: brute_force detected at 192.168.8.176 and 192.168.8.101 in 5-min window,1
192.168.8.226,192.168.8.126,4,malware,Alert streak: malware detected at 192.168.8.226 and 192.168.8.126 in 5-min window,1
