threat_type,severity,confidence,alert_count,recommended_action,action_priority
brute_force,MEDIUM,0.9178609931414332,22,RESET_PASSWORD,2
brute_force,MEDIUM,0.8995086551803608,18,RESET_PASSWORD,2
brute_force,HIGH,0.7354339683823345,36,DISABLE_ACCOUNT,1
brute_force,LOW,0.6186429854863627,41,MONITOR,3
brute_force,HIGH,0.7465431973136982,35,DISABLE_ACCOUNT,1
brute_force,LOW,0.7863435576607496,2,MONITOR,3
brute_force,MEDIUM,0.8266637791113706,45,RESET_PASSWORD,2
brute_force,MEDIUM,0.731171678978107,28,RESET_PASSWORD,2
brute_force,HIGH,0.986831518586686,44,DISABLE_ACCOUNT,1
brute_force,HIGH,0.7881447425217907,24,DISABLE_ACCOUNT,1
brute_force,HIGH,0.9286755726054629,4,DISABLE_ACCOUNT,1
brute_force,HIGH,0.6582989059925297,27,DISABLE_ACCOUNT,1
brute_force,LOW,0.626796665081086,21,MONITOR,3
brute_force,MEDIUM,0.8184701148350246,20,RESET_PASSWORD,2
brute_force,HIGH,0.6678091672515984,17,DISABLE_ACCOUNT,1
brute_force,LOW,0.9811895180185746,46,MONITOR,3
brute_force,MEDIUM,0.7015069577769815,36,RESET_PASSWORD,2
brute_force,HIGH,0.8109135005075043,34,DISABLE_ACCOUNT,1
brute_force,HIGH,0.9496935800862456,14,DISABLE_ACCOUNT,1
brute_force,LOW,0.675760169084804,46,MONITOR,3
brute_force,HIGH,0.871900431521434,39,DISABLE_ACCOUNT,1
brute_force,HIGH,0.8506553338388266,12,DISABLE_ACCOUNT,1
brute_force,HIGH,0.6926962803831437,39,DISABLE_ACCOUNT,1
brute_force,MEDIUM,0.8702600469997547,22,RESET_PASSWORD,2
brute_force,LOW,0.8518740172744598,49,MONITOR,3
brute_force,LOW,0.7599289419025337,4,MONITOR,3
brute_force,LOW,0.7473198488757252,20,MONITOR,3
brute_force,MEDIUM,0.6259789886429112,13,RESET_PASSWORD,2
brute_force,LOW,0.7962695163735607,44,MONITOR,3
brute_force,HIGH,0.8561272215271127,44,DISABLE_ACCOUNT,1
brute_force,LOW,0.8686812015115705,40,MONITOR,3
brute_force,HIGH,0.7718123262859496,42,DISABLE_ACCOUNT,1
brute_force,MEDIUM,0.6701118951693043,14,RESET_PASSWORD,2
brute_force,LOW,0.9861175410635652,33,MONITOR,3
brute_force,HIGH,0.6426717936652316,42,DISABLE_ACCOUNT,1
brute_force,LOW,0.7906684898181335,13,MONITOR,3
brute_force,LOW,0.7464807965557704,14,MONITOR,3
brute_force,MEDIUM,0.6085718177530698,34,RESET_PASSWORD,2
brute_force,MEDIUM,0.7351237624186375,37,RESET_PASSWORD,2
brute_force,HIGH,0.8767658706496824,36,DISABLE_ACCOUNT,1
brute_force,LOW,0.671584303009891,12,MONITOR,3
brute_force,HIGH,0.7564991966231147,38,DISABLE_ACCOUNT,1
brute_force,LOW,0.6175765106416311,50,MONITOR,3
brute_force,LOW,0.6014229677374039,31,MONITOR,3
brute_force,LOW,0.8139834863066893,12,MONITOR,3
brute_force,MEDIUM,0.6325646171341465,8,RESET_PASSWORD,2
brute_force,MEDIUM,0.6974467564548579,7,RESET_PASSWORD,2
brute_force,HIGH,0.9315102167460462,11,DISABLE_ACCOUNT,1
brute_force,MEDIUM,0.7122713390122106,22,RESET_PASSWORD,2
brute_force,MEDIUM,0.6085461090626622,45,RESET_PASSWORD,2
brute_force,MEDIUM,0.9244695987750852,22,RESET_PASSWORD,2
brute_force,LOW,0.8159827503577516,40,MONITOR,3
brute_force,LOW,0.70616458346601,22,MONITOR,3
brute_force,LOW,0.6837966791469728,11,MONITOR,3
brute_force,LOW,0.7276412005470886,35,MONITOR,3
brute_force,HIGH,0.7333137154389873,31,DISABLE_ACCOUNT,1
brute_force,MEDIUM,0.7798184715894356,41,RESET_PASSWORD,2
brute_force,MEDIUM,0.8145601052943845,44,RESET_PASSWORD,2
brute_force,HIGH,0.9752919368803824,24,DISABLE_ACCOUNT,1
brute_force,MEDIUM,0.9434477189013756,26,RESET_PASSWORD,2
brute_force,LOW,0.6886190200624065,21,MONITOR,3
brute_force,MEDIUM,0.9840866290068802,11,RESET_PASSWORD,2
brute_force,LOW,0.6234214840192557,20,MONITOR,3
brute_force,LOW,0.8090380985992136,27,MONITOR,3
brute_force,MEDIUM,0.8862700758923856,47,RESET_PASSWORD,2
brute_force,HIGH,0.963212969875807,8,DISABLE_ACCOUNT,1
brute_force,LOW,0.6643415530908784,3,MONITOR,3
brute_force,LOW,0.6142266644015641,47,MONITOR,3
