threat_type,severity,confidence,alert_count,recommended_action,action_priority
ddos,MEDIUM,0.7425610826670392,43,ESCALATE,2
ddos,LOW,0.913066399548613,2,ESCALATE,2
ddos,MEDIUM,0.7776843066754513,19,ESCALATE,2
ddos,HIGH,0.7360649256275683,18,ESCALATE,1
ddos,HIGH,0.6673402364680602,43,ESCALATE,1
ddos,HIGH,0.8268304946141949,18,ESCALATE,1
ddos,HIGH,0.6964730207026489,4,ESCALATE,1
ddos,MEDIUM,0.8307471402772288,38,ESCALATE,2
ddos,HIGH,0.7871909890232235,24,ESCALATE,1
ddos,LOW,0.6055980549085194,47,ESCALATE,2
ddos,HIGH,0.6441292234170506,33,ESCALATE,1
ddos,HIGH,0.6300421926950115,4,ESCALATE,1
ddos,LOW,0.7138086801403103,5,ESCALATE,2
ddos,LOW,0.6418714803994702,33,ESCALATE,2
ddos,HIGH,0.6128077538917249,41,ESCALATE,1
ddos,LOW,0.7842740122726826,8,ESCALATE,2
ddos,MEDIUM,0.8319920540016389,4,ESCALATE,2
ddos,MEDIUM,0.6679986030880694,6,ESCALATE,2
ddos,MEDIUM,0.979954758462512,2,ESCALATE,2
ddos,HIGH,0.7774304101253133,40,ESCALATE,1
ddos,HIGH,0.8977873379054175,14,ESCALATE,1
ddos,LOW,0.9204315393099108,42,ESCALATE,2
ddos,MEDIUM,0.9549741470960604,22,ESCALATE,2
ddos,MEDIUM,0.9100308106002412,50,ESCALATE,2
ddos,HIGH,0.6627560122729274,50,ESCALATE,1
ddos,HIGH,0.9037299637107872,11,ESCALATE,1
ddos,HIGH,0.9858889137537188,38,ESCALATE,1
ddos,HIGH,0.8552724478075027,38,ESCALATE,1
ddos,HIGH,0.6899035110774236,11,ESCALATE,1
ddos,LOW,0.7180644375968609,22,ESCALATE,2
ddos,HIGH,0.7516675070375222,8,ESCALATE,1
ddos,LOW,0.7520420893016404,25,ESCALATE,2
ddos,LOW,0.6825128463786564,39,ESCALATE,2
ddos,LOW,0.7859596575078872,46,ESCALATE,2
ddos,HIGH,0.92329408837057,11,ESCALATE,1
ddos,HIGH,0.932387283039534,34,ESCALATE,1
ddos,LOW,0.9238818307179798,9,ESCALATE,2
ddos,HIGH,0.8952550043635411,1,ESCALATE,1
ddos,MEDIUM,0.6167181438161502,30,ESCALATE,2
ddos,HIGH,0.914062008366516,4,ESCALATE,1
ddos,LOW,0.6091263154768056,17,ESCALATE,2
ddos,LOW,0.8686459138571893,10,ESCALATE,2
ddos,HIGH,0.8457090535872646,4,ESCALATE,1
ddos,MEDIUM,0.8491334447037244,40,ESCALATE,2
ddos,HIGH,0.8641299997695344,37,ESCALATE,1
ddos,MEDIUM,0.9666792108948292,3,ESCALATE,2
ddos,MEDIUM,0.6614199185575367,17,ESCALATE,2
ddos,MEDIUM,0.9167645256615016,40,ESCALATE,2
ddos,LOW,0.6302408087232441,44,ESCALATE,2
ddos,LOW,0.688303286297218,20,ESCALATE,2
ddos,MEDIUM,0.6525362120011031,38,ESCALATE,2
ddos,HIGH,0.7015858774163797,8,ESCALATE,1
ddos,LOW,0.6025167938971562,2,ESCALATE,2
ddos,LOW,0.6452166505325051,42,ESCALATE,2
ddos,HIGH,0.6355755836407869,25,ESCALATE,1
ddos,LOW,0.7163060942529269,5,ESCALATE,2
ddos,MEDIUM,0.6881856066417559,22,ESCALATE,2
ddos,MEDIUM,0.8824179610665595,39,ESCALATE,2
ddos,MEDIUM,0.6355064747216816,28,ESCALATE,2
ddos,HIGH,0.9822425744750228,37,ESCALATE,1
ddos,LOW,0.7547504360386532,29,ESCALATE,2
ddos,MEDIUM,0.708793224514471,20,ESCALATE,2
ddos,HIGH,0.6575137221530788,22,ESCALATE,1
ddos,MEDIUM,0.9181034962304836,7,ESCALATE,2
ddos,MEDIUM,0.9606376068934352,11,ESCALATE,2
ddos,LOW,0.6636645797628529,50,ESCALATE,2
ddos,MEDIUM,0.6589259699187,39,ESCALATE,2
ddos,LOW,0.8886109309674763,22,ESCALATE,2
ddos,MEDIUM,0.9115910845080464,23,ESCALATE,2
ddos,HIGH,0.8073339021152353,8,ESCALATE,1
ddos,HIGH,0.9376528848313448,21,ESCALATE,1
ddos,HIGH,0.6422382168752182,13,ESCALATE,1
ddos,MEDIUM,0.92241398773625,7,ESCALATE,2
ddos,MEDIUM,0.8541505788460773,8,ESCALATE,2
ddos,HIGH,0.6939742776301069,38,ESCALATE,1
ddos,MEDIUM,0.804509983832455,10,ESCALATE,2
ddos,HIGH,0.7739982828617706,12,ESCALATE,1
ddos,HIGH,0.9346527706601636,15,ESCALATE,1
ddos,HIGH,0.676627763780702,10,ESCALATE,1
ddos,LOW,0.7448463719525035,33,ESCALATE,2
ddos,LOW,0.6466908211222572,7,ESCALATE,2
ddos,HIGH,0.9190708025549714,3,ESCALATE,1
ddos,LOW,0.778210206070855,41,ESCALATE,2
ddos,MEDIUM,0.8217922957293067,38,ESCALATE,2
ddos,MEDIUM,0.9116720760718356,25,ESCALATE,2
ddos,LOW,0.932850254952096,27,ESCALATE,2
ddos,LOW,0.8256703031797245,25,ESCALATE,2
ddos,HIGH,0.6737882496046239,4,ESCALATE,1
ddos,LOW,0.8718246691297113,43,ESCALATE,2
ddos,MEDIUM,0.7008902354516208,4,ESCALATE,2
ddos,HIGH,0.8387180842993279,27,ESCALATE,1
ddos,MEDIUM,0.6933732219477341,27,ESCALATE,2
ddos,HIGH,0.7790666399655539,27,ESCALATE,1
ddos,HIGH,0.7651112310468743,24,ESCALATE,1
ddos,HIGH,0.6751095808583858,32,ESCALATE,1
ddos,HIGH,0.8538194772422365,13,ESCALATE,1
ddos,HIGH,0.7584421441416379,24,ESCALATE,1
ddos,MEDIUM,0.8539538786204802,50,ESCALATE,2
ddos,MEDIUM,0.880917230009304,30,ESCALATE,2
ddos,LOW,0.8695488387783503,19,ESCALATE,2
ddos,MEDIUM,0.7230906190557005,16,ESCALATE,2
ddos,MEDIUM,0.8359827357019903,15,ESCALATE,2
ddos,MEDIUM,0.6980358838556673,20,ESCALATE,2
ddos,MEDIUM,0.7849805530288294,3,ESCALATE,2
ddos,MEDIUM,0.9465127338110446,26,ESCALATE,2
ddos,HIGH,0.8566075540441072,21,ESCALATE,1
ddos,MEDIUM,0.743313436441901,2,ESCALATE,2
ddos,LOW,0.66051632339167,36,ESCALATE,2
ddos,LOW,0.6304821344235157,28,ESCALATE,2
ddos,MEDIUM,0.9685804438255902,44,ESCALATE,2
ddos,LOW,0.7873702008431799,26,ESCALATE,2
ddos,LOW,0.6458525516796223,21,ESCALATE,2
ddos,HIGH,0.823362052966029,3,ESCALATE,1
