threat_type,severity,confidence,alert_count,recommended_action,action_priority
insider_threat,HIGH,0.8670406144541221,21,DISABLE_ACCOUNT,1
insider_threat,LOW,0.7044082951976203,1,ESCALATE,2
insider_threat,MEDIUM,0.6354940193755966,46,ESCALATE,1
insider_threat,LOW,0.8345053991705038,5,ESCALATE,2
insider_threat,HIGH,0.9177778030829944,43,DISABLE_ACCOUNT,1
insider_threat,MEDIUM,0.6646272223668351,13,ESCALATE,1
insider_threat,LOW,0.9032877962826278,33,ESCALATE,2
insider_threat,MEDIUM,0.8741221674818049,12,ESCALATE,1
insider_threat,MEDIUM,0.9169725702057542,19,ESCALATE,1
insider_threat,HIGH,0.9585127808084778,15,DISABLE_ACCOUNT,1
insider_threat,LOW,0.8323474043835042,18,ESCALATE,2
insider_threat,HIGH,0.7843201396261086,2,DISABLE_ACCOUNT,1
insider_threat,HIGH,0.720088081147967,24,DISABLE_ACCOUNT,1
insider_threat,LOW,0.7866800337302507,41,ESCALATE,2
insider_threat,MEDIUM,0.8388953925045433,7,ESCALATE,1
insider_threat,MEDIUM,0.6562330474418238,8,ESCALATE,1
insider_threat,HIGH,0.6708234933743188,1,DISABLE_ACCOUNT,1
insider_threat,HIGH,0.7223000960288992,42,DISABLE_ACCOUNT,1
insider_threat,LOW,0.9481752957097116,13,ESCALATE,2
insider_threat,HIGH,0.9754287183351532,37,DISABLE_ACCOUNT,1
insider_threat,MEDIUM,0.9605634548508046,2,ESCALATE,1
insider_threat,HIGH,0.9185179424174704,15,DISABLE_ACCOUNT,1
insider_threat,MEDIUM,0.8707411333091255,35,ESCALATE,1
insider_threat,MEDIUM,0.8137030680351262,21,ESCALATE,1
insider_threat,LOW,0.8389703517108136,40,ESCALATE,2
insider_threat,MEDIUM,0.6310527640178897,8,ESCALATE,1
insider_threat,MEDIUM,0.9143076240483434,24,ESCALATE,1
insider_threat,HIGH,0.7940866521385292,32,DISABLE_ACCOUNT,1
insider_threat,LOW,0.6998093520297319,15,ESCALATE,2
insider_threat,MEDIUM,0.9094798516753836,45,ESCALATE,1
insider_threat,LOW,0.7550819504317855,24,ESCALATE,2
insider_threat,HIGH,0.9176589844262266,33,DISABLE_ACCOUNT,1
insider_threat,MEDIUM,0.9515363502364104,13,ESCALATE,1
insider_threat,MEDIUM,0.6956475223940429,18,ESCALATE,1
insider_threat,HIGH,0.6484048144695878,24,DISABLE_ACCOUNT,1
insider_threat,LOW,0.841296243788674,46,ESCALATE,2
insider_threat,MEDIUM,0.9430961044244754,2,ESCALATE,1
insider_threat,LOW,0.960994441072685,40,ESCALATE,2
insider_threat,LOW,0.9703921783256448,45,ESCALATE,2
insider_threat,LOW,0.8306870521313402,39,ESCALATE,2
insider_threat,LOW,0.8196410002047866,1,ESCALATE,2
insider_threat,MEDIUM,0.6878505951078828,16,ESCALATE,1
insider_threat,LOW,0.8473755998233415,48,ESCALATE,2
insider_threat,LOW,0.948509956334986,34,ESCALATE,2
insider_threat,LOW,0.6751865733550337,44,ESCALATE,2
insider_threat,LOW,0.8375078184454425,36,ESCALATE,2
insider_threat,LOW,0.8800912624489619,7,ESCALATE,2
insider_threat,HIGH,0.6877736304213081,33,DISABLE_ACCOUNT,1
insider_threat,LOW,0.9599767763392908,22,ESCALATE,2
insider_threat,HIGH,0.9527219073119448,29,DISABLE_ACCOUNT,1
insider_threat,LOW,0.6041182066306668,7,ESCALATE,2
insider_threat,MEDIUM,0.818559099198217,20,ESCALATE,1
insider_threat,HIGH,0.9200153163180154,26,DISABLE_ACCOUNT,1
insider_threat,LOW,0.7616943901654365,6,ESCALATE,2
insider_threat,LOW,0.9201827891920364,48,ESCALATE,2
insider_threat,LOW,0.6580953675779889,40,ESCALATE,2
insider_threat,LOW,0.7548619411910461,31,ESCALATE,2
insider_threat,LOW,0.9043189922052296,23,ESCALATE,2
insider_threat,LOW,0.705154206425974,7,ESCALATE,2
insider_threat,HIGH,0.6291066147780897,12,DISABLE_ACCOUNT,1
insider_threat,HIGH,0.6809459345407014,27,DISABLE_ACCOUNT,1
insider_threat,HIGH,0.7187302404730493,48,DISABLE_ACCOUNT,1
insider_threat,MEDIUM,0.7026553115188139,15,ESCALATE,1
insider_threat,MEDIUM,0.8580168494437495,15,ESCALATE,1
insider_threat,MEDIUM,0.7123797628734692,5,ESCALATE,1
insider_threat,MEDIUM,0.6978710632279534,23,ESCALATE,1
insider_threat,LOW,0.9743766493086164,28,ESCALATE,2
insider_threat,HIGH,0.7247381892735283,14,DISABLE_ACCOUNT,1
insider_threat,HIGH,0.7817998188273427,2,DISABLE_ACCOUNT,1
insider_threat,HIGH,0.869370271476019,41,DISABLE_ACCOUNT,1
insider_threat,MEDIUM,0.7786389059427559,48,ESCALATE,1
insider_threat,MEDIUM,0.8664444455491237,46,ESCALATE,1
insider_threat,HIGH,0.8478343752704025,18,DISABLE_ACCOUNT,1
insider_threat,MEDIUM,0.7334026229491559,7,ESCALATE,1
insider_threat,HIGH,0.7219760007242837,13,DISABLE_ACCOUNT,1
insider_threat,LOW,0.889402054639038,33,ESCALATE,2
insider_threat,HIGH,0.9735530868151188,41,DISABLE_ACCOUNT,1
insider_threat,LOW,0.8841598627543008,18,ESCALATE,2
insider_threat,HIGH,0.7302474597346499,1,DISABLE_ACCOUNT,1
insider_threat,LOW,0.8862818120978266,7,ESCALATE,2
insider_threat,MEDIUM,0.902011306936964,33,ESCALATE,1
insider_threat,HIGH,0.8780475526219029,3,DISABLE_ACCOUNT,1
insider_threat,LOW,0.7793081488738103,41,ESCALATE,2
insider_threat,LOW,0.7553926201476772,49,ESCALATE,2
insider_threat,HIGH,0.6622024104221094,3,DISABLE_ACCOUNT,1
insider_threat,LOW,0.7008310208261278,36,ESCALATE,2
insider_threat,LOW,0.9845659231873298,26,ESCALATE,2
insider_threat,HIGH,0.7183209182777542,44,DISABLE_ACCOUNT,1
insider_threat,HIGH,0.7272145010507185,42,DISABLE_ACCOUNT,1
insider_threat,MEDIUM,0.8318670622764519,41,ESCALATE,1
insider_threat,LOW,0.9288577955573686,49,ESCALATE,2
insider_threat,MEDIUM,0.6916082438966932,6,ESCALATE,1
insider_threat,HIGH,0.7523248298965721,48,DISABLE_ACCOUNT,1
insider_threat,MEDIUM,0.6498637285659229,10,ESCALATE,1
insider_threat,LOW,0.9163580699313308,41,ESCALATE,2
insider_threat,MEDIUM,0.6732533602679369,41,ESCALATE,1
insider_threat,HIGH,0.7991328603132102,25,DISABLE_ACCOUNT,1
insider_threat,MEDIUM,0.8058994546576999,26,ESCALATE,1
insider_threat,HIGH,0.7975316178509861,11,DISABLE_ACCOUNT,1
insider_threat,HIGH,0.8596808552921953,11,DISABLE_ACCOUNT,1
insider_threat,MEDIUM,0.919897712546516,32,ESCALATE,1
insider_threat,MEDIUM,0.9573798932991068,49,ESCALATE,1
insider_threat,LOW,0.929385263053776,41,ESCALATE,2
insider_threat,LOW,0.7855337210131608,12,ESCALATE,2
insider_threat,LOW,0.7418200160442542,13,ESCALATE,2
insider_threat,MEDIUM,0.6173558036348663,41,ESCALATE,1
insider_threat,HIGH,0.9523891487687252,30,DISABLE_ACCOUNT,1
insider_threat,HIGH,0.6651285597070155,8,DISABLE_ACCOUNT,1
insider_threat,LOW,0.9104235790708968,33,ESCALATE,2
insider_threat,HIGH,0.655973080884359,45,DISABLE_ACCOUNT,1
insider_threat,LOW,0.9443690388975472,21,ESCALATE,2
insider_threat,HIGH,0.9716998712928032,27,DISABLE_ACCOUNT,1
insider_threat,LOW,0.7549151645508083,50,ESCALATE,2
insider_threat,HIGH,0.8375375627826943,7,DISABLE_ACCOUNT,1
insider_threat,HIGH,0.6166838401289494,50,DISABLE_ACCOUNT,1
insider_threat,LOW,0.9067599658688316,45,ESCALATE,2
insider_threat,HIGH,0.9157802602760934,41,DISABLE_ACCOUNT,1
insider_threat,HIGH,0.9329185428319442,6,DISABLE_ACCOUNT,1
insider_threat,HIGH,0.6735872543143051,31,DISABLE_ACCOUNT,1
insider_threat,MEDIUM,0.9857318869875822,50,ESCALATE,1
insider_threat,LOW,0.6396760459451531,46,ESCALATE,2
insider_threat,LOW,0.760115507029427,15,ESCALATE,2
insider_threat,MEDIUM,0.8139212153093347,19,ESCALATE,1
insider_threat,LOW,0.8759484637452248,32,ESCALATE,2
