threat_type,severity,confidence,alert_count,recommended_action,action_priority
normal,LOW,0.9567565758031245,45,MONITOR,3
normal,HIGH,0.93813539207066,33,ESCALATE,2
normal,HIGH,0.8354018087215634,20,ESCALATE,2
normal,MEDIUM,0.6284477159827218,8,ESCALATE,2
normal,MEDIUM,0.8056596722414164,39,ESCALATE,2
normal,HIGH,0.770217175239578,3,ESCALATE,2
normal,HIGH,0.8661565649256697,10,ESCALATE,2
normal,HIGH,0.9547188469326384,2,ESCALATE,2
normal,HIGH,0.6640913658567174,34,ESCALATE,2
normal,LOW,0.7884168469563816,24,MONITOR,3
normal,HIGH,0.9375654394362506,38,ESCALATE,2
normal,LOW,0.6438725325884451,50,MONITOR,3
normal,MEDIUM,0.6118384391909633,6,ESCALATE,2
normal,LOW,0.8580912910730194,17,MONITOR,3
normal,LOW,0.8614632178420212,34,MONITOR,3
normal,LOW,0.9477333253205708,37,MONITOR,3
normal,LOW,0.6094946903814719,36,MONITOR,3
normal,HIGH,0.8189722203306569,6,ESCALATE,2
normal,MEDIUM,0.700784915249152,40,ESCALATE,2
normal,MEDIUM,0.6112471841885881,2,ESCALATE,2
normal,LOW,0.8163005460197895,5,MONITOR,3
normal,MEDIUM,0.7868868034267674,27,ESCALATE,2
normal,MEDIUM,0.9019934675021868,46,ESCALATE,2
normal,LOW,0.7867924512290105,13,MONITOR,3
normal,HIGH,0.7159855461094551,33,ESCALATE,2
normal,LOW,0.6612386179205852,38,MONITOR,3
normal,MEDIUM,0.6669895671881179,16,ESCALATE,2
normal,HIGH,0.9719718695703596,41,ESCALATE,2
normal,LOW,0.762187169201813,49,MONITOR,3
normal,LOW,0.7082756929626262,44,MONITOR,3
normal,LOW,0.6912787281230885,1,MONITOR,3
normal,LOW,0.866857814923618,44,MONITOR,3
normal,LOW,0.7781605607758983,7,MONITOR,3
normal,MEDIUM,0.7865708112901837,19,ESCALATE,2
normal,MEDIUM,0.633639660525781,15,ESCALATE,2
normal,HIGH,0.8514653953174594,22,ESCALATE,2
normal,HIGH,0.9429309123714704,39,ESCALATE,2
normal,LOW,0.9659445414630256,11,MONITOR,3
normal,LOW,0.9136967703797328,42,MONITOR,3
normal,HIGH,0.7131921635335924,12,ESCALATE,2
normal,LOW,0.7971127400437342,6,MONITOR,3
normal,HIGH,0.7464316016664518,11,ESCALATE,2
normal,MEDIUM,0.9319822566027692,2,ESCALATE,2
normal,HIGH,0.6352681124078857,31,ESCALATE,2
normal,HIGH,0.6314041838999588,26,ESCALATE,2
normal,HIGH,0.741541697237756,21,ESCALATE,2
normal,HIGH,0.785371561546198,13,ESCALATE,2
normal,LOW,0.9871019277100248,15,MONITOR,3
normal,HIGH,0.9365414171648412,31,ESCALATE,2
normal,LOW,0.9492844439276122,12,MONITOR,3
normal,MEDIUM,0.630285213395968,26,ESCALATE,2
normal,MEDIUM,0.6610506769513705,10,ESCALATE,2
normal,HIGH,0.961065312648608,17,ESCALATE,2
normal,MEDIUM,0.7987006430696462,5,ESCALATE,2
normal,MEDIUM,0.8206731226280598,43,ESCALATE,2
normal,HIGH,0.8467849435734816,4,ESCALATE,2
normal,MEDIUM,0.9315739677898376,7,ESCALATE,2
normal,MEDIUM,0.7857558612475147,38,ESCALATE,2
normal,LOW,0.6224422061337825,46,MONITOR,3
normal,HIGH,0.6625156107520617,2,ESCALATE,2
normal,LOW,0.816574786590166,36,MONITOR,3
normal,MEDIUM,0.8293943782342716,6,ESCALATE,2
normal,HIGH,0.9091403974717712,39,ESCALATE,2
normal,HIGH,0.867956053694048,5,ESCALATE,2
normal,HIGH,0.6526551416289577,16,ESCALATE,2
normal,HIGH,0.97729589246839,38,ESCALATE,2
normal,LOW,0.872450278797947,32,MONITOR,3
normal,LOW,0.9239824738931396,48,MONITOR,3
normal,MEDIUM,0.733003570655617,29,ESCALATE,2
normal,HIGH,0.941845462942664,33,ESCALATE,2
normal,MEDIUM,0.8826439801366031,26,ESCALATE,2
normal,HIGH,0.7079927723119983,34,ESCALATE,2
normal,MEDIUM,0.7608190327949669,26,ESCALATE,2
normal,MEDIUM,0.8975375370030569,39,ESCALATE,2
normal,HIGH,0.8812086841926852,2,ESCALATE,2
normal,MEDIUM,0.9314805007573498,2,ESCALATE,2
normal,MEDIUM,0.6465151064582366,26,ESCALATE,2
normal,MEDIUM,0.9590698104158524,10,ESCALATE,2
normal,MEDIUM,0.6499205135207823,8,ESCALATE,2
normal,HIGH,0.7662325128698283,20,ESCALATE,2
normal,HIGH,0.7084028236421006,12,ESCALATE,2
normal,HIGH,0.9580896476620292,30,ESCALATE,2
normal,LOW,0.937600171760957,29,MONITOR,3
normal,MEDIUM,0.8231332027837568,4,ESCALATE,2
normal,HIGH,0.8134665574535457,5,ESCALATE,2
normal,LOW,0.912286000920451,10,MONITOR,3
normal,LOW,0.8369251062514331,49,MONITOR,3
normal,LOW,0.9817650034107556,46,MONITOR,3
normal,MEDIUM,0.88965860939682,32,ESCALATE,2
normal,LOW,0.837479312290131,18,MONITOR,3
normal,LOW,0.9712702557504352,47,MONITOR,3
normal,HIGH,0.9232168173943136,36,ESCALATE,2
normal,LOW,0.7300387093548839,13,MONITOR,3
normal,LOW,0.8043543879779829,30,MONITOR,3
normal,MEDIUM,0.6466722631986276,44,ESCALATE,2
normal,HIGH,0.6062804269386282,40,ESCALATE,2
normal,HIGH,0.7847173517532879,37,ESCALATE,2
normal,HIGH,0.8776907288667741,37,ESCALATE,2
normal,MEDIUM,0.6350687909515833,46,ESCALATE,2
normal,HIGH,0.7814090446987902,25,ESCALATE,2
normal,MEDIUM,0.9828869654546364,33,ESCALATE,2
normal,LOW,0.7575266335996107,9,MONITOR,3
normal,HIGH,0.7491239909776479,26,ESCALATE,2
normal,HIGH,0.7898454425470778,31,ESCALATE,2
normal,MEDIUM,0.9362234065203288,42,ESCALATE,2
normal,LOW,0.7604489012301185,35,MONITOR,3
normal,LOW,0.6417226971293439,31,MONITOR,3
normal,LOW,0.7962529055674109,1,MONITOR,3
normal,MEDIUM,0.7470866613003209,22,ESCALATE,2
normal,HIGH,0.6502108579067447,35,ESCALATE,2
normal,HIGH,0.7473828514559411,28,ESCALATE,2
normal,LOW,0.8644923102670181,46,MONITOR,3
normal,LOW,0.8634029321726848,25,MONITOR,3
normal,MEDIUM,0.9161545525469086,26,ESCALATE,2
normal,MEDIUM,0.9696939010232468,35,ESCALATE,2
normal,HIGH,0.7639562211022259,40,ESCALATE,2
normal,LOW,0.712949484559723,10,MONITOR,3
normal,LOW,0.8570148033438771,23,MONITOR,3
normal,HIGH,0.6967337729139207,28,ESCALATE,2
normal,LOW,0.7374612267552885,35,MONITOR,3
normal,MEDIUM,0.6687978666198693,18,ESCALATE,2
normal,HIGH,0.7089733206621333,18,ESCALATE,2
normal,LOW,0.6257357601446099,48,MONITOR,3
normal,LOW,0.9181148028509578,43,MONITOR,3
normal,LOW,0.9736126518372225,7,MONITOR,3
normal,HIGH,0.8169022084868252,35,ESCALATE,2
normal,MEDIUM,0.6957102564944168,1,ESCALATE,2
normal,LOW,0.6686358532963392,12,MONITOR,3
normal,LOW,0.8936522798450558,11,MONITOR,3
normal,MEDIUM,0.7693688520041724,34,ESCALATE,2
normal,MEDIUM,0.7906122085435483,35,ESCALATE,2
normal,LOW,0.8288260778087477,43,MONITOR,3
normal,HIGH,0.7337278794647232,38,ESCALATE,2
normal,MEDIUM,0.8756152164397791,45,ESCALATE,2
