threat_type,severity,confidence,alert_count,recommended_action,action_priority
ransomware,MEDIUM,0.8920546845898203,19,ISOLATE_HOST,1
ransomware,LOW,0.7489649085822205,3,ESCALATE,2
ransomware,MEDIUM,0.8071797840446202,18,ISOLATE_HOST,1
ransomware,HIGH,0.7432408509505868,16,RESTORE_BACKUP,1
ransomware,MEDIUM,0.9683112806356096,19,ISOLATE_HOST,1
ransomware,MEDIUM,0.7576037967545644,17,ISOLATE_HOST,1
ransomware,LOW,0.9704387732644816,46,ESCALATE,2
ransomware,MEDIUM,0.8233760598463479,40,ISOLATE_HOST,1
ransomware,MEDIUM,0.6350241906637177,41,ISOLATE_HOST,1
ransomware,MEDIUM,0.8847104103728318,8,ISOLATE_HOST,1
ransomware,HIGH,0.98011093089339,43,RESTORE_BACKUP,1
ransomware,LOW,0.6976425759524155,2,ESCALATE,2
ransomware,HIGH,0.6690328313728658,11,RESTORE_BACKUP,1
ransomware,MEDIUM,0.790197236269032,10,ISOLATE_HOST,1
ransomware,MEDIUM,0.9739905868220484,18,ISOLATE_HOST,1
ransomware,HIGH,0.7949524763448536,36,RESTORE_BACKUP,1
ransomware,LOW,0.9832969344100824,17,ESCALATE,2
ransomware,HIGH,0.6208314961003627,5,RESTORE_BACKUP,1
ransomware,LOW,0.6087408797901109,25,ESCALATE,2
ransomware,LOW,0.6486532095887683,34,ESCALATE,2
ransomware,LOW,0.73792999435226,50,ESCALATE,2
ransomware,LOW,0.9101193385697858,24,ESCALATE,2
ransomware,LOW,0.7515361627295444,49,ESCALATE,2
ransomware,LOW,0.7331878038503593,49,ESCALATE,2
ransomware,HIGH,0.8577523342467588,37,RESTORE_BACKUP,1
ransomware,LOW,0.7920540212285745,45,ESCALATE,2
ransomware,LOW,0.7594622908449647,11,ESCALATE,2
ransomware,MEDIUM,0.6530583429718694,5,ISOLATE_HOST,1
ransomware,HIGH,0.8365995431258466,39,RESTORE_BACKUP,1
ransomware,LOW,0.633681400884312,46,ESCALATE,2
ransomware,MEDIUM,0.6028820178644656,4,ISOLATE_HOST,1
ransomware,MEDIUM,0.6919601653941971,27,ISOLATE_HOST,1
ransomware,HIGH,0.802693141762766,6,RESTORE_BACKUP,1
ransomware,MEDIUM,0.9337467743718112,3,ISOLATE_HOST,1
ransomware,LOW,0.6191730295137529,16,ESCALATE,2
ransomware,MEDIUM,0.9041145389363856,45,ISOLATE_HOST,1
ransomware,MEDIUM,0.6129573108780214,29,ISOLATE_HOST,1
ransomware,HIGH,0.9615893782108372,44,RESTORE_BACKUP,1
ransomware,LOW,0.7520390104661294,11,ESCALATE,2
ransomware,MEDIUM,0.7017271932965388,47,ISOLATE_HOST,1
ransomware,HIGH,0.959869119065878,38,RESTORE_BACKUP,1
ransomware,LOW,0.6264515523446109,6,ESCALATE,2
ransomware,MEDIUM,0.9448343416628954,1,ISOLATE_HOST,1
ransomware,HIGH,0.8996022337079106,30,RESTORE_BACKUP,1
ransomware,MEDIUM,0.8039130086492522,8,ISOLATE_HOST,1
ransomware,HIGH,0.9678411243032096,37,RESTORE_BACKUP,1
ransomware,LOW,0.7874506785727713,36,ESCALATE,2
ransomware,HIGH,0.7277607419774548,10,RESTORE_BACKUP,1
ransomware,LOW,0.962743969654732,33,ESCALATE,2
ransomware,LOW,0.8949577350390417,3,ESCALATE,2
ransomware,HIGH,0.6650700395882172,15,RESTORE_BACKUP,1
ransomware,HIGH,0.7305426322314671,6,RESTORE_BACKUP,1
ransomware,LOW,0.7418181522933343,17,ESCALATE,2
ransomware,HIGH,0.8474583485897436,34,RESTORE_BACKUP,1
ransomware,MEDIUM,0.7599015919658663,10,ISOLATE_HOST,1
ransomware,MEDIUM,0.9744675157033568,29,ISOLATE_HOST,1
ransomware,MEDIUM,0.7919184657198486,36,ISOLATE_HOST,1
ransomware,HIGH,0.9548339562894732,10,RESTORE_BACKUP,1
ransomware,LOW,0.8680113113782288,34,ESCALATE,2
ransomware,MEDIUM,0.7800426917601707,27,ISOLATE_HOST,1
ransomware,HIGH,0.8192176170967801,19,RESTORE_BACKUP,1
ransomware,MEDIUM,0.6926121036140179,29,ISOLATE_HOST,1
ransomware,MEDIUM,0.7269750569717265,2,ISOLATE_HOST,1
ransomware,LOW,0.6756486488161538,32,ESCALATE,2
ransomware,MEDIUM,0.7279939532111799,17,ISOLATE_HOST,1
ransomware,LOW,0.9244028531781818,21,ESCALATE,2
ransomware,HIGH,0.6288948559455746,42,RESTORE_BACKUP,1
ransomware,HIGH,0.8535157850644866,40,RESTORE_BACKUP,1
ransomware,HIGH,0.7806188642350472,38,RESTORE_BACKUP,1
ransomware,MEDIUM,0.6877063993610497,36,ISOLATE_HOST,1
ransomware,HIGH,0.9389899513766832,14,RESTORE_BACKUP,1
ransomware,LOW,0.7077939594646433,1,ESCALATE,2
