threat_type,severity,confidence,alert_count,recommended_action,action_priority
ddos,MEDIUM,0.7425610826670392,43,ESCALATE,2
insider_threat,HIGH,0.8670406144541221,21,DISABLE_ACCOUNT,1
phishing,MEDIUM,0.813755874295347,33,BLOCK_URL,2
phishing,MEDIUM,0.854150379597161,9,BLOCK_URL,2
insider_threat,LOW,0.7044082951976203,1,ESCALATE,2
ransomware,MEDIUM,0.8920546845898203,19,ISOLATE_HOST,1
phishing,MEDIUM,0.7220101966940883,3,BLOCK_URL,2
phishing,HIGH,0.7065889668159165,20,ESCALATE,1
brute_force,MEDIUM,0.9178609931414332,22,RESET_PASSWORD,2
brute_force,MEDIUM,0.8995086551803608,18,RESET_PASSWORD,2
malware,HIGH,0.6344686260336492,3,ISOLATE_HOST,1
brute_force,HIGH,0.7354339683823345,36,DISABLE_ACCOUNT,1
ddos,LOW,0.913066399548613,2,ESCALATE,2
insider_threat,MEDIUM,0.6354940193755966,46,ESCALATE,1
ransomware,LOW,0.7489649085822205,3,ESCALATE,2
malware,MEDIUM,0.883783834726932,4,ISOLATE_HOST,1
malware,LOW,0.6813386949736964,21,SCAN_SYSTEM,2
normal,LOW,0.9567565758031243,45,MONITOR,3
insider_threat,LOW,0.8345053991705038,5,ESCALATE,2
normal,HIGH,0.9381353920706601,33,ESCALATE,2
malware,MEDIUM,0.6749071004947402,42,ISOLATE_HOST,1
insider_threat,HIGH,0.9177778030829944,43,DISABLE_ACCOUNT,1
phishing,HIGH,0.8971160049944318,31,ESCALATE,1
brute_force,LOW,0.6186429854863627,41,MONITOR,3
ddos,MEDIUM,0.7776843066754513,19,ESCALATE,2
data_exfil,MEDIUM,0.7482255048891504,12,BLOCK_IP,1
insider_threat,MEDIUM,0.6646272223668351,13,ESCALATE,1
phishing,LOW,0.8049503325568761,33,BLOCK_URL,3
malware,MEDIUM,0.6445895011239177,35,ISOLATE_HOST,1
phishing,HIGH,0.6284542219635673,26,ESCALATE,1
brute_force,HIGH,0.7465431973136982,35,DISABLE_ACCOUNT,1
ransomware,MEDIUM,0.8071797840446202,18,ISOLATE_HOST,1
data_exfil,LOW,0.8301032179500581,35,ESCALATE,2
insider_threat,LOW,0.9032877962826278,33,ESCALATE,2
ransomware,HIGH,0.7432408509505868,16,RESTORE_BACKUP,1
ransomware,MEDIUM,0.9683112806356097,19,ISOLATE_HOST,1
data_exfil,LOW,0.7180511200992112,31,ESCALATE,2
malware,MEDIUM,0.8448690515324024,2,ISOLATE_HOST,1
phishing,HIGH,0.6032560146657513,7,ESCALATE,1
brute_force,LOW,0.7863435576607496,2,MONITOR,3
ddos,HIGH,0.7360649256275683,18,ESCALATE,1
insider_threat,MEDIUM,0.8741221674818049,12,ESCALATE,1
malware,LOW,0.6433734999473517,39,SCAN_SYSTEM,2
malware,MEDIUM,0.8637744795130569,46,ISOLATE_HOST,1
ddos,HIGH,0.6673402364680602,43,ESCALATE,1
brute_force,MEDIUM,0.8266637791113706,45,RESET_PASSWORD,2
normal,HIGH,0.8354018087215634,20,ESCALATE,2
data_exfil,MEDIUM,0.7270825683903546,8,BLOCK_IP,1
ddos,HIGH,0.8268304946141949,18,ESCALATE,1
ddos,HIGH,0.6964730207026489,4,ESCALATE,1
phishing,HIGH,0.7961716426696157,42,ESCALATE,1
insider_threat,MEDIUM,0.9169725702057542,19,ESCALATE,1
ransomware,MEDIUM,0.7576037967545644,17,ISOLATE_HOST,1
ddos,MEDIUM,0.8307471402772288,38,ESCALATE,2
malware,LOW,0.767482203581627,37,SCAN_SYSTEM,2
malware,LOW,0.9316895736162898,30,SCAN_SYSTEM,2
normal,MEDIUM,0.6284477159827218,8,ESCALATE,2
data_exfil,MEDIUM,0.7385809816990001,45,BLOCK_IP,1
ddos,HIGH,0.7871909890232235,24,ESCALATE,1
brute_force,MEDIUM,0.731171678978107,28,RESET_PASSWORD,2
phishing,MEDIUM,0.6187877984075036,50,BLOCK_URL,2
malware,MEDIUM,0.7618313771724239,7,ISOLATE_HOST,1
data_exfil,HIGH,0.9405518707242404,15,ESCALATE,1
brute_force,HIGH,0.986831518586686,44,DISABLE_ACCOUNT,1
insider_threat,HIGH,0.9585127808084778,15,DISABLE_ACCOUNT,1
insider_threat,LOW,0.8323474043835042,18,ESCALATE,2
insider_threat,HIGH,0.7843201396261086,2,DISABLE_ACCOUNT,1
normal,MEDIUM,0.8056596722414164,39,ESCALATE,2
phishing,HIGH,0.8870492931381111,14,ESCALATE,1
ransomware,LOW,0.9704387732644815,46,ESCALATE,2
malware,MEDIUM,0.6142528954545826,40,ISOLATE_HOST,1
brute_force,HIGH,0.7881447425217907,24,DISABLE_ACCOUNT,1
normal,HIGH,0.770217175239578,3,ESCALATE,2
data_exfil,HIGH,0.699771167290747,4,ESCALATE,1
brute_force,HIGH,0.9286755726054629,4,DISABLE_ACCOUNT,1
ddos,LOW,0.6055980549085194,47,ESCALATE,2
data_exfil,HIGH,0.7282375272245247,29,ESCALATE,1
malware,MEDIUM,0.6898424276274954,24,ISOLATE_HOST,1
normal,HIGH,0.8661565649256697,10,ESCALATE,2
normal,HIGH,0.9547188469326384,2,ESCALATE,2
ddos,HIGH,0.6441292234170506,33,ESCALATE,1
malware,MEDIUM,0.8046837560011935,21,ISOLATE_HOST,1
ddos,HIGH,0.6300421926950115,4,ESCALATE,1
normal,HIGH,0.6640913658567174,34,ESCALATE,2
insider_threat,HIGH,0.720088081147967,24,DISABLE_ACCOUNT,1
phishing,MEDIUM,0.8594224736878315,15,BLOCK_URL,2
data_exfil,HIGH,0.9389965659947541,38,ESCALATE,1
normal,LOW,0.7884168469563816,24,MONITOR,3
phishing,MEDIUM,0.893363232002688,9,BLOCK_URL,2
insider_threat,LOW,0.7866800337302507,41,ESCALATE,2
insider_threat,MEDIUM,0.8388953925045433,7,ESCALATE,1
ddos,LOW,0.7138086801403103,5,ESCALATE,2
phishing,LOW,0.903850297770904,50,BLOCK_URL,3
insider_threat,MEDIUM,0.6562330474418238,8,ESCALATE,1
normal,HIGH,0.9375654394362506,38,ESCALATE,2
insider_threat,HIGH,0.6708234933743188,1,DISABLE_ACCOUNT,1
phishing,LOW,0.985556578210466,33,BLOCK_URL,3
normal,LOW,0.6438725325884451,50,MONITOR,3
data_exfil,MEDIUM,0.9138509765857674,5,BLOCK_IP,1
insider_threat,HIGH,0.7223000960288992,42,DISABLE_ACCOUNT,1
ransomware,MEDIUM,0.8233760598463479,40,ISOLATE_HOST,1
data_exfil,MEDIUM,0.8264041466598641,14,BLOCK_IP,1
ddos,LOW,0.6418714803994702,33,ESCALATE,2
ddos,HIGH,0.6128077538917249,41,ESCALATE,1
