threat_type,timestamp,ti_category,ti_risk_level,ti_impact,ti_mitigation,label
brute_force,2026-02-25T13:50:10.851280,Authentication Attack,MEDIUM,"Account compromise, unauthorized access","Enable MFA, implement account lockout, monitor failed logins",brute_force_MEDIUM
brute_force,2026-02-25T13:50:10.851322,Authentication Attack,MEDIUM,"Account compromise, unauthorized access","Enable MFA, implement account lockout, monitor failed logins",brute_force_MEDIUM
brute_force,2026-02-25T13:50:10.851331,Authentication Attack,MEDIUM,"Account compromise, unauthorized access","Enable MFA, implement account lockout, monitor failed logins",brute_force_MEDIUM
brute_force,2026-02-25T13:50:10.851334,Authentication Attack,MEDIUM,"Account compromise, unauthorized access","Enable MFA, implement account lockout, monitor failed logins",brute_force_MEDIUM
brute_force,2026-02-25T13:50:10.851336,Authentication Attack,MEDIUM,"Account compromise, unauthorized access","Enable MFA, implement account lockout, monitor failed logins",brute_force_MEDIUM
brute_force,2026-02-25T13:50:10.851339,Authentication Attack,MEDIUM,"Account compromise, unauthorized access","Enable MFA, implement account lockout, monitor failed logins",brute_force_MEDIUM
brute_force,2026-02-25T13:50:10.851342,Authentication Attack,MEDIUM,"Account compromise, unauthorized access","Enable MFA, implement account lockout, monitor failed logins",brute_force_MEDIUM
brute_force,2026-02-25T13:50:10.851344,Authentication Attack,MEDIUM,"Account compromise, unauthorized access","Enable MFA, implement account lockout, monitor failed logins",brute_force_MEDIUM
brute_force,2026-02-25T13:50:10.851347,Authentication Attack,MEDIUM,"Account compromise, unauthorized access","Enable MFA, implement account lockout, monitor failed logins",brute_force_MEDIUM
brute_force,2026-02-25T13:50:10.851349,Authentication Attack,MEDIUM,"Account compromise, unauthorized access","Enable MFA, implement account lockout, monitor failed logins",brute_force_MEDIUM
brute_force,2026-02-25T13:50:10.851351,Authentication Attack,MEDIUM,"Account compromise, unauthorized access","Enable MFA, implement account lockout, monitor failed logins",brute_force_MEDIUM
brute_force,2026-02-25T13:50:10.851354,Authentication Attack,MEDIUM,"Account compromise, unauthorized access","Enable MFA, implement account lockout, monitor failed logins",brute_force_MEDIUM
brute_force,2026-02-25T13:50:10.851357,Authentication Attack,MEDIUM,"Account compromise, unauthorized access","Enable MFA, implement account lockout, monitor failed logins",brute_force_MEDIUM
brute_force,2026-02-25T13:50:10.851359,Authentication Attack,MEDIUM,"Account compromise, unauthorized access","Enable MFA, implement account lockout, monitor failed logins",brute_force_MEDIUM
brute_force,2026-02-25T13:50:10.851362,Authentication Attack,MEDIUM,"Account compromise, unauthorized access","Enable MFA, implement account lockout, monitor failed logins",brute_force_MEDIUM
brute_force,2026-02-25T13:50:10.851364,Authentication Attack,MEDIUM,"Account compromise, unauthorized access","Enable MFA, implement account lockout, monitor failed logins",brute_force_MEDIUM
brute_force,2026-02-25T13:50:10.851367,Authentication Attack,MEDIUM,"Account compromise, unauthorized access","Enable MFA, implement account lockout, monitor failed logins",brute_force_MEDIUM
brute_force,2026-02-25T13:50:10.851369,Authentication Attack,MEDIUM,"Account compromise, unauthorized access","Enable MFA, implement account lockout, monitor failed logins",brute_force_MEDIUM
brute_force,2026-02-25T13:50:10.851371,Authentication Attack,MEDIUM,"Account compromise, unauthorized access","Enable MFA, implement account lockout, monitor failed logins",brute_force_MEDIUM
brute_force,2026-02-25T13:50:10.851374,Authentication Attack,MEDIUM,"Account compromise, unauthorized access","Enable MFA, implement account lockout, monitor failed logins",brute_force_MEDIUM
brute_force,2026-02-25T13:50:10.851377,Authentication Attack,MEDIUM,"Account compromise, unauthorized access","Enable MFA, implement account lockout, monitor failed logins",brute_force_MEDIUM
brute_force,2026-02-25T13:50:10.851379,Authentication Attack,MEDIUM,"Account compromise, unauthorized access","Enable MFA, implement account lockout, monitor failed logins",brute_force_MEDIUM
brute_force,2026-02-25T13:50:10.851382,Authentication Attack,MEDIUM,"Account compromise, unauthorized access","Enable MFA, implement account lockout, monitor failed logins",brute_force_MEDIUM
brute_force,2026-02-25T13:50:10.851385,Authentication Attack,MEDIUM,"Account compromise, unauthorized access","Enable MFA, implement account lockout, monitor failed logins",brute_force_MEDIUM
brute_force,2026-02-25T13:50:10.851388,Authentication Attack,MEDIUM,"Account compromise, unauthorized access","Enable MFA, implement account lockout, monitor failed logins",brute_force_MEDIUM
brute_force,2026-02-25T13:50:10.851391,Authentication Attack,MEDIUM,"Account compromise, unauthorized access","Enable MFA, implement account lockout, monitor failed logins",brute_force_MEDIUM
brute_force,2026-02-25T13:50:10.851394,Authentication Attack,MEDIUM,"Account compromise, unauthorized access","Enable MFA, implement account lockout, monitor failed logins",brute_force_MEDIUM
brute_force,2026-02-25T13:50:10.851396,Authentication Attack,MEDIUM,"Account compromise, unauthorized access","Enable MFA, implement account lockout, monitor failed logins",brute_force_MEDIUM
brute_force,2026-02-25T13:50:10.851416,Authentication Attack,MEDIUM,"Account compromise, unauthorized access","Enable MFA, implement account lockout, monitor failed logins",brute_force_MEDIUM
brute_force,2026-02-25T13:50:10.851418,Authentication Attack,MEDIUM,"Account compromise, unauthorized access","Enable MFA, implement account lockout, monitor failed logins",brute_force_MEDIUM
brute_force,2026-02-25T13:50:10.851421,Authentication Attack,MEDIUM,"Account compromise, unauthorized access","Enable MFA, implement account lockout, monitor failed logins",brute_force_MEDIUM
brute_force,2026-02-25T13:50:10.851424,Authentication Attack,MEDIUM,"Account compromise, unauthorized access","Enable MFA, implement account lockout, monitor failed logins",brute_force_MEDIUM
brute_force,2026-02-25T13:50:10.851427,Authentication Attack,MEDIUM,"Account compromise, unauthorized access","Enable MFA, implement account lockout, monitor failed logins",brute_force_MEDIUM
brute_force,2026-02-25T13:50:10.851429,Authentication Attack,MEDIUM,"Account compromise, unauthorized access","Enable MFA, implement account lockout, monitor failed logins",brute_force_MEDIUM
brute_force,2026-02-25T13:50:10.851432,Authentication Attack,MEDIUM,"Account compromise, unauthorized access","Enable MFA, implement account lockout, monitor failed logins",brute_force_MEDIUM
brute_force,2026-02-25T13:50:10.851434,Authentication Attack,MEDIUM,"Account compromise, unauthorized access","Enable MFA, implement account lockout, monitor failed logins",brute_force_MEDIUM
brute_force,2026-02-25T13:50:10.851437,Authentication Attack,MEDIUM,"Account compromise, unauthorized access","Enable MFA, implement account lockout, monitor failed logins",brute_force_MEDIUM
brute_force,2026-02-25T13:50:10.851440,Authentication Attack,MEDIUM,"Account compromise, unauthorized access","Enable MFA, implement account lockout, monitor failed logins",brute_force_MEDIUM
brute_force,2026-02-25T13:50:10.851443,Authentication Attack,MEDIUM,"Account compromise, unauthorized access","Enable MFA, implement account lockout, monitor failed logins",brute_force_MEDIUM
brute_force,2026-02-25T13:50:10.851446,Authentication Attack,MEDIUM,"Account compromise, unauthorized access","Enable MFA, implement account lockout, monitor failed logins",brute_force_MEDIUM
brute_force,2026-02-25T13:50:10.851450,Authentication Attack,MEDIUM,"Account compromise, unauthorized access","Enable MFA, implement account lockout, monitor failed logins",brute_force_MEDIUM
brute_force,2026-02-25T13:50:10.851456,Authentication Attack,MEDIUM,"Account compromise, unauthorized access","Enable MFA, implement account lockout, monitor failed logins",brute_force_MEDIUM
brute_force,2026-02-25T13:50:10.851459,Authentication Attack,MEDIUM,"Account compromise, unauthorized access","Enable MFA, implement account lockout, monitor failed logins",brute_force_MEDIUM
brute_force,2026-02-25T13:50:10.851462,Authentication Attack,MEDIUM,"Account compromise, unauthorized access","Enable MFA, implement account lockout, monitor failed logins",brute_force_MEDIUM
