threat_type,timestamp,ti_category,ti_risk_level,ti_impact,ti_mitigation,label
data_exfil,2026-02-25T13:50:10.858626,Data Breach,HIGH,"Data breach, IP theft, regulatory violations","Block connections, review DLP, investigate access logs",data_exfil_HIGH
data_exfil,2026-02-25T13:50:10.858631,Data Breach,HIGH,"Data breach, IP theft, regulatory violations","Block connections, review DLP, investigate access logs",data_exfil_HIGH
data_exfil,2026-02-25T13:50:10.858634,Data Breach,HIGH,"Data breach, IP theft, regulatory violations","Block connections, review DLP, investigate access logs",data_exfil_HIGH
data_exfil,2026-02-25T13:50:10.858637,Data Breach,HIGH,"Data breach, IP theft, regulatory violations","Block connections, review DLP, investigate access logs",data_exfil_HIGH
data_exfil,2026-02-25T13:50:10.858640,Data Breach,HIGH,"Data breach, IP theft, regulatory violations","Block connections, review DLP, investigate access logs",data_exfil_HIGH
data_exfil,2026-02-25T13:50:10.858642,Data Breach,HIGH,"Data breach, IP theft, regulatory violations","Block connections, review DLP, investigate access logs",data_exfil_HIGH
data_exfil,2026-02-25T13:50:10.858644,Data Breach,HIGH,"Data breach, IP theft, regulatory violations","Block connections, review DLP, investigate access logs",data_exfil_HIGH
data_exfil,2026-02-25T13:50:10.858647,Data Breach,HIGH,"Data breach, IP theft, regulatory violations","Block connections, review DLP, investigate access logs",data_exfil_HIGH
data_exfil,2026-02-25T13:50:10.858650,Data Breach,HIGH,"Data breach, IP theft, regulatory violations","Block connections, review DLP, investigate access logs",data_exfil_HIGH
data_exfil,2026-02-25T13:50:10.858653,Data Breach,HIGH,"Data breach, IP theft, regulatory violations","Block connections, review DLP, investigate access logs",data_exfil_HIGH
data_exfil,2026-02-25T13:50:10.858655,Data Breach,HIGH,"Data breach, IP theft, regulatory violations","Block connections, review DLP, investigate access logs",data_exfil_HIGH
data_exfil,2026-02-25T13:50:10.858658,Data Breach,HIGH,"Data breach, IP theft, regulatory violations","Block connections, review DLP, investigate access logs",data_exfil_HIGH
data_exfil,2026-02-25T13:50:10.858661,Data Breach,HIGH,"Data breach, IP theft, regulatory violations","Block connections, review DLP, investigate access logs",data_exfil_HIGH
data_exfil,2026-02-25T13:50:10.858663,Data Breach,HIGH,"Data breach, IP theft, regulatory violations","Block connections, review DLP, investigate access logs",data_exfil_HIGH
data_exfil,2026-02-25T13:50:10.858666,Data Breach,HIGH,"Data breach, IP theft, regulatory violations","Block connections, review DLP, investigate access logs",data_exfil_HIGH
data_exfil,2026-02-25T13:50:10.858669,Data Breach,HIGH,"Data breach, IP theft, regulatory violations","Block connections, review DLP, investigate access logs",data_exfil_HIGH
data_exfil,2026-02-25T13:50:10.858671,Data Breach,HIGH,"Data breach, IP theft, regulatory violations","Block connections, review DLP, investigate access logs",data_exfil_HIGH
data_exfil,2026-02-25T13:50:10.858673,Data Breach,HIGH,"Data breach, IP theft, regulatory violations","Block connections, review DLP, investigate access logs",data_exfil_HIGH
data_exfil,2026-02-25T13:50:10.858678,Data Breach,HIGH,"Data breach, IP theft, regulatory violations","Block connections, review DLP, investigate access logs",data_exfil_HIGH
data_exfil,2026-02-25T13:50:10.858680,Data Breach,HIGH,"Data breach, IP theft, regulatory violations","Block connections, review DLP, investigate access logs",data_exfil_HIGH
data_exfil,2026-02-25T13:50:10.858683,Data Breach,HIGH,"Data breach, IP theft, regulatory violations","Block connections, review DLP, investigate access logs",data_exfil_HIGH
data_exfil,2026-02-25T13:50:10.858688,Data Breach,HIGH,"Data breach, IP theft, regulatory violations","Block connections, review DLP, investigate access logs",data_exfil_HIGH
data_exfil,2026-02-25T13:50:10.858692,Data Breach,HIGH,"Data breach, IP theft, regulatory violations","Block connections, review DLP, investigate access logs",data_exfil_HIGH
data_exfil,2026-02-25T13:50:10.858695,Data Breach,HIGH,"Data breach, IP theft, regulatory violations","Block connections, review DLP, investigate access logs",data_exfil_HIGH
data_exfil,2026-02-25T13:50:10.858697,Data Breach,HIGH,"Data breach, IP theft, regulatory violations","Block connections, review DLP, investigate access logs",data_exfil_HIGH
data_exfil,2026-02-25T13:50:10.858699,Data Breach,HIGH,"Data breach, IP theft, regulatory violations","Block connections, review DLP, investigate access logs",data_exfil_HIGH
data_exfil,2026-02-25T13:50:10.858702,Data Breach,HIGH,"Data breach, IP theft, regulatory violations","Block connections, review DLP, investigate access logs",data_exfil_HIGH
data_exfil,2026-02-25T13:50:10.858704,Data Breach,HIGH,"Data breach, IP theft, regulatory violations","Block connections, review DLP, investigate access logs",data_exfil_HIGH
data_exfil,2026-02-25T13:50:10.858706,Data Breach,HIGH,"Data breach, IP theft, regulatory violations","Block connections, review DLP, investigate access logs",data_exfil_HIGH
data_exfil,2026-02-25T13:50:10.858709,Data Breach,HIGH,"Data breach, IP theft, regulatory violations","Block connections, review DLP, investigate access logs",data_exfil_HIGH
data_exfil,2026-02-25T13:50:10.858711,Data Breach,HIGH,"Data breach, IP theft, regulatory violations","Block connections, review DLP, investigate access logs",data_exfil_HIGH
data_exfil,2026-02-25T13:50:10.858713,Data Breach,HIGH,"Data breach, IP theft, regulatory violations","Block connections, review DLP, investigate access logs",data_exfil_HIGH
data_exfil,2026-02-25T13:50:10.858716,Data Breach,HIGH,"Data breach, IP theft, regulatory violations","Block connections, review DLP, investigate access logs",data_exfil_HIGH
data_exfil,2026-02-25T13:50:10.858718,Data Breach,HIGH,"Data breach, IP theft, regulatory violations","Block connections, review DLP, investigate access logs",data_exfil_HIGH
data_exfil,2026-02-25T13:50:10.858720,Data Breach,HIGH,"Data breach, IP theft, regulatory violations","Block connections, review DLP, investigate access logs",data_exfil_HIGH
