threat_type,timestamp,ti_category,ti_risk_level,ti_impact,ti_mitigation,label
ddos,2026-02-25T13:50:10.855952,Denial of Service,MEDIUM,"Service unavailability, business disruption","Enable DDoS protection, rate limiting, CDN deployment",ddos_MEDIUM
ddos,2026-02-25T13:50:10.855957,Denial of Service,MEDIUM,"Service unavailability, business disruption","Enable DDoS protection, rate limiting, CDN deployment",ddos_MEDIUM
ddos,2026-02-25T13:50:10.855966,Denial of Service,MEDIUM,"Service unavailability, business disruption","Enable DDoS protection, rate limiting, CDN deployment",ddos_MEDIUM
ddos,2026-02-25T13:50:10.855968,Denial of Service,MEDIUM,"Service unavailability, business disruption","Enable DDoS protection, rate limiting, CDN deployment",ddos_MEDIUM
ddos,2026-02-25T13:50:10.855974,Denial of Service,MEDIUM,"Service unavailability, business disruption","Enable DDoS protection, rate limiting, CDN deployment",ddos_MEDIUM
ddos,2026-02-25T13:50:10.855977,Denial of Service,MEDIUM,"Service unavailability, business disruption","Enable DDoS protection, rate limiting, CDN deployment",ddos_MEDIUM
ddos,2026-02-25T13:50:10.855979,Denial of Service,MEDIUM,"Service unavailability, business disruption","Enable DDoS protection, rate limiting, CDN deployment",ddos_MEDIUM
ddos,2026-02-25T13:50:10.855981,Denial of Service,MEDIUM,"Service unavailability, business disruption","Enable DDoS protection, rate limiting, CDN deployment",ddos_MEDIUM
ddos,2026-02-25T13:50:10.855984,Denial of Service,MEDIUM,"Service unavailability, business disruption","Enable DDoS protection, rate limiting, CDN deployment",ddos_MEDIUM
ddos,2026-02-25T13:50:10.855986,Denial of Service,MEDIUM,"Service unavailability, business disruption","Enable DDoS protection, rate limiting, CDN deployment",ddos_MEDIUM
ddos,2026-02-25T13:50:10.855988,Denial of Service,MEDIUM,"Service unavailability, business disruption","Enable DDoS protection, rate limiting, CDN deployment",ddos_MEDIUM
ddos,2026-02-25T13:50:10.855991,Denial of Service,MEDIUM,"Service unavailability, business disruption","Enable DDoS protection, rate limiting, CDN deployment",ddos_MEDIUM
ddos,2026-02-25T13:50:10.855993,Denial of Service,MEDIUM,"Service unavailability, business disruption","Enable DDoS protection, rate limiting, CDN deployment",ddos_MEDIUM
ddos,2026-02-25T13:50:10.855995,Denial of Service,MEDIUM,"Service unavailability, business disruption","Enable DDoS protection, rate limiting, CDN deployment",ddos_MEDIUM
ddos,2026-02-25T13:50:10.855998,Denial of Service,MEDIUM,"Service unavailability, business disruption","Enable DDoS protection, rate limiting, CDN deployment",ddos_MEDIUM
ddos,2026-02-25T13:50:10.856000,Denial of Service,MEDIUM,"Service unavailability, business disruption","Enable DDoS protection, rate limiting, CDN deployment",ddos_MEDIUM
ddos,2026-02-25T13:50:10.856002,Denial of Service,MEDIUM,"Service unavailability, business disruption","Enable DDoS protection, rate limiting, CDN deployment",ddos_MEDIUM
