threat_type,timestamp,ti_category,ti_risk_level,ti_impact,ti_mitigation,label
insider_threat,2026-02-25T13:50:10.860048,Insider Activity,HIGH,"Data theft, sabotage, privilege abuse","Review permissions, investigate activity, disable account",insider_threat_HIGH
insider_threat,2026-02-25T13:50:10.860053,Insider Activity,HIGH,"Data theft, sabotage, privilege abuse","Review permissions, investigate activity, disable account",insider_threat_HIGH
insider_threat,2026-02-25T13:50:10.860057,Insider Activity,HIGH,"Data theft, sabotage, privilege abuse","Review permissions, investigate activity, disable account",insider_threat_HIGH
insider_threat,2026-02-25T13:50:10.860060,Insider Activity,HIGH,"Data theft, sabotage, privilege abuse","Review permissions, investigate activity, disable account",insider_threat_HIGH
insider_threat,2026-02-25T13:50:10.860063,Insider Activity,HIGH,"Data theft, sabotage, privilege abuse","Review permissions, investigate activity, disable account",insider_threat_HIGH
insider_threat,2026-02-25T13:50:10.860069,Insider Activity,HIGH,"Data theft, sabotage, privilege abuse","Review permissions, investigate activity, disable account",insider_threat_HIGH
insider_threat,2026-02-25T13:50:10.860072,Insider Activity,HIGH,"Data theft, sabotage, privilege abuse","Review permissions, investigate activity, disable account",insider_threat_HIGH
insider_threat,2026-02-25T13:50:10.860075,Insider Activity,HIGH,"Data theft, sabotage, privilege abuse","Review permissions, investigate activity, disable account",insider_threat_HIGH
insider_threat,2026-02-25T13:50:10.860077,Insider Activity,HIGH,"Data theft, sabotage, privilege abuse","Review permissions, investigate activity, disable account",insider_threat_HIGH
insider_threat,2026-02-25T13:50:10.860080,Insider Activity,HIGH,"Data theft, sabotage, privilege abuse","Review permissions, investigate activity, disable account",insider_threat_HIGH
insider_threat,2026-02-25T13:50:10.860083,Insider Activity,HIGH,"Data theft, sabotage, privilege abuse","Review permissions, investigate activity, disable account",insider_threat_HIGH
insider_threat,2026-02-25T13:50:10.860085,Insider Activity,HIGH,"Data theft, sabotage, privilege abuse","Review permissions, investigate activity, disable account",insider_threat_HIGH
insider_threat,2026-02-25T13:50:10.860088,Insider Activity,HIGH,"Data theft, sabotage, privilege abuse","Review permissions, investigate activity, disable account",insider_threat_HIGH
insider_threat,2026-02-25T13:50:10.860090,Insider Activity,HIGH,"Data theft, sabotage, privilege abuse","Review permissions, investigate activity, disable account",insider_threat_HIGH
insider_threat,2026-02-25T13:50:10.860093,Insider Activity,HIGH,"Data theft, sabotage, privilege abuse","Review permissions, investigate activity, disable account",insider_threat_HIGH
insider_threat,2026-02-25T13:50:10.860096,Insider Activity,HIGH,"Data theft, sabotage, privilege abuse","Review permissions, investigate activity, disable account",insider_threat_HIGH
insider_threat,2026-02-25T13:50:10.860098,Insider Activity,HIGH,"Data theft, sabotage, privilege abuse","Review permissions, investigate activity, disable account",insider_threat_HIGH
insider_threat,2026-02-25T13:50:10.860101,Insider Activity,HIGH,"Data theft, sabotage, privilege abuse","Review permissions, investigate activity, disable account",insider_threat_HIGH
insider_threat,2026-02-25T13:50:10.860104,Insider Activity,HIGH,"Data theft, sabotage, privilege abuse","Review permissions, investigate activity, disable account",insider_threat_HIGH
insider_threat,2026-02-25T13:50:10.860106,Insider Activity,HIGH,"Data theft, sabotage, privilege abuse","Review permissions, investigate activity, disable account",insider_threat_HIGH
insider_threat,2026-02-25T13:50:10.860109,Insider Activity,HIGH,"Data theft, sabotage, privilege abuse","Review permissions, investigate activity, disable account",insider_threat_HIGH
insider_threat,2026-02-25T13:50:10.860112,Insider Activity,HIGH,"Data theft, sabotage, privilege abuse","Review permissions, investigate activity, disable account",insider_threat_HIGH
insider_threat,2026-02-25T13:50:10.860114,Insider Activity,HIGH,"Data theft, sabotage, privilege abuse","Review permissions, investigate activity, disable account",insider_threat_HIGH
insider_threat,2026-02-25T13:50:10.860117,Insider Activity,HIGH,"Data theft, sabotage, privilege abuse","Review permissions, investigate activity, disable account",insider_threat_HIGH
insider_threat,2026-02-25T13:50:10.860119,Insider Activity,HIGH,"Data theft, sabotage, privilege abuse","Review permissions, investigate activity, disable account",insider_threat_HIGH
insider_threat,2026-02-25T13:50:10.860125,Insider Activity,HIGH,"Data theft, sabotage, privilege abuse","Review permissions, investigate activity, disable account",insider_threat_HIGH
insider_threat,2026-02-25T13:50:10.860128,Insider Activity,HIGH,"Data theft, sabotage, privilege abuse","Review permissions, investigate activity, disable account",insider_threat_HIGH
insider_threat,2026-02-25T13:50:10.860131,Insider Activity,HIGH,"Data theft, sabotage, privilege abuse","Review permissions, investigate activity, disable account",insider_threat_HIGH
insider_threat,2026-02-25T13:50:10.860133,Insider Activity,HIGH,"Data theft, sabotage, privilege abuse","Review permissions, investigate activity, disable account",insider_threat_HIGH
insider_threat,2026-02-25T13:50:10.860136,Insider Activity,HIGH,"Data theft, sabotage, privilege abuse","Review permissions, investigate activity, disable account",insider_threat_HIGH
insider_threat,2026-02-25T13:50:10.860139,Insider Activity,HIGH,"Data theft, sabotage, privilege abuse","Review permissions, investigate activity, disable account",insider_threat_HIGH
insider_threat,2026-02-25T13:50:10.860144,Insider Activity,HIGH,"Data theft, sabotage, privilege abuse","Review permissions, investigate activity, disable account",insider_threat_HIGH
insider_threat,2026-02-25T13:50:10.860149,Insider Activity,HIGH,"Data theft, sabotage, privilege abuse","Review permissions, investigate activity, disable account",insider_threat_HIGH
insider_threat,2026-02-25T13:50:10.860152,Insider Activity,HIGH,"Data theft, sabotage, privilege abuse","Review permissions, investigate activity, disable account",insider_threat_HIGH
insider_threat,2026-02-25T13:50:10.860155,Insider Activity,HIGH,"Data theft, sabotage, privilege abuse","Review permissions, investigate activity, disable account",insider_threat_HIGH
insider_threat,2026-02-25T13:50:10.860157,Insider Activity,HIGH,"Data theft, sabotage, privilege abuse","Review permissions, investigate activity, disable account",insider_threat_HIGH
insider_threat,2026-02-25T13:50:10.860160,Insider Activity,HIGH,"Data theft, sabotage, privilege abuse","Review permissions, investigate activity, disable account",insider_threat_HIGH
insider_threat,2026-02-25T13:50:10.860162,Insider Activity,HIGH,"Data theft, sabotage, privilege abuse","Review permissions, investigate activity, disable account",insider_threat_HIGH
insider_threat,2026-02-25T13:50:10.860165,Insider Activity,HIGH,"Data theft, sabotage, privilege abuse","Review permissions, investigate activity, disable account",insider_threat_HIGH
