threat_type,timestamp,ti_category,ti_risk_level,ti_impact,ti_mitigation,label
phishing,2026-02-25T13:50:10.854504,Social Engineering,MEDIUM,"Credential theft, business email compromise","Block URLs, security training, email filtering",phishing_MEDIUM
phishing,2026-02-25T13:50:10.854508,Social Engineering,MEDIUM,"Credential theft, business email compromise","Block URLs, security training, email filtering",phishing_MEDIUM
phishing,2026-02-25T13:50:10.854512,Social Engineering,MEDIUM,"Credential theft, business email compromise","Block URLs, security training, email filtering",phishing_MEDIUM
phishing,2026-02-25T13:50:10.854516,Social Engineering,MEDIUM,"Credential theft, business email compromise","Block URLs, security training, email filtering",phishing_MEDIUM
phishing,2026-02-25T13:50:10.854518,Social Engineering,MEDIUM,"Credential theft, business email compromise","Block URLs, security training, email filtering",phishing_MEDIUM
phishing,2026-02-25T13:50:10.854521,Social Engineering,MEDIUM,"Credential theft, business email compromise","Block URLs, security training, email filtering",phishing_MEDIUM
phishing,2026-02-25T13:50:10.854524,Social Engineering,MEDIUM,"Credential theft, business email compromise","Block URLs, security training, email filtering",phishing_MEDIUM
phishing,2026-02-25T13:50:10.854526,Social Engineering,MEDIUM,"Credential theft, business email compromise","Block URLs, security training, email filtering",phishing_MEDIUM
phishing,2026-02-25T13:50:10.854529,Social Engineering,MEDIUM,"Credential theft, business email compromise","Block URLs, security training, email filtering",phishing_MEDIUM
phishing,2026-02-25T13:50:10.854532,Social Engineering,MEDIUM,"Credential theft, business email compromise","Block URLs, security training, email filtering",phishing_MEDIUM
phishing,2026-02-25T13:50:10.854534,Social Engineering,MEDIUM,"Credential theft, business email compromise","Block URLs, security training, email filtering",phishing_MEDIUM
phishing,2026-02-25T13:50:10.854537,Social Engineering,MEDIUM,"Credential theft, business email compromise","Block URLs, security training, email filtering",phishing_MEDIUM
phishing,2026-02-25T13:50:10.854539,Social Engineering,MEDIUM,"Credential theft, business email compromise","Block URLs, security training, email filtering",phishing_MEDIUM
phishing,2026-02-25T13:50:10.854542,Social Engineering,MEDIUM,"Credential theft, business email compromise","Block URLs, security training, email filtering",phishing_MEDIUM
phishing,2026-02-25T13:50:10.854545,Social Engineering,MEDIUM,"Credential theft, business email compromise","Block URLs, security training, email filtering",phishing_MEDIUM
phishing,2026-02-25T13:50:10.854548,Social Engineering,MEDIUM,"Credential theft, business email compromise","Block URLs, security training, email filtering",phishing_MEDIUM
phishing,2026-02-25T13:50:10.854553,Social Engineering,MEDIUM,"Credential theft, business email compromise","Block URLs, security training, email filtering",phishing_MEDIUM
phishing,2026-02-25T13:50:10.854556,Social Engineering,MEDIUM,"Credential theft, business email compromise","Block URLs, security training, email filtering",phishing_MEDIUM
phishing,2026-02-25T13:50:10.854559,Social Engineering,MEDIUM,"Credential theft, business email compromise","Block URLs, security training, email filtering",phishing_MEDIUM
phishing,2026-02-25T13:50:10.854561,Social Engineering,MEDIUM,"Credential theft, business email compromise","Block URLs, security training, email filtering",phishing_MEDIUM
phishing,2026-02-25T13:50:10.854564,Social Engineering,MEDIUM,"Credential theft, business email compromise","Block URLs, security training, email filtering",phishing_MEDIUM
